benchmark,lambda_nm,I_wcm2,Re_eps_eff,Im_eps_eff,delta_Im_rel,status
Guillet2009_2ps_TTM,554.8511891130098,681292069057.9595,4.163869786166546,-0.11680547924691734,0.9725257778864154,breakdown
Guillet2009_2ps_TTM,554.8511891130098,1000000000000.0,4.165567604381215,-0.10289834167034613,0.9757969239765332,breakdown
DeLeon2014_fs_795nm,554.8511891130098,10000.0,1.9870650006042136,-4.251456393274852,1.8827767672727303e-07,ok
DeLeon2014_fs_795nm,554.8511891130098,14677.992676220705,1.9870649841693084,-4.251456018823023,2.7635379077295816e-07,ok
DeLeon2014_fs_795nm,554.8511891130098,21544.346900318822,1.9870649600462251,-4.2514554692031234,4.05631794706565e-07,ok
DeLeon2014_fs_795nm,554.8511891130098,31622.776601683792,1.9870649246385172,-4.251454662471907,5.953858435634836e-07,ok
DeLeon2014_fs_795nm,554.8511891130098,46415.88833612782,1.9870648726674007,-4.251453478353445,8.739064563511572e-07,ok
DeLeon2014_fs_795nm,554.8511891130098,68129.20690579608,1.9870647963848591,-4.25145174030743,1.2827182908508555e-06,ok
DeLeon2014_fs_795nm,554.8511891130098,100000.0,1.9870646844187503,-4.251449189209508,1.8827708859953865e-06,ok
DeLeon2014_fs_795nm,554.8511891130098,146779.92676220674,1.9870645200778778,-4.251445444720062,2.763525242677092e-06,ok
DeLeon2014_fs_795nm,554.8511891130098,215443.46900318822,1.9870642788647193,-4.251439948583213,4.056290663637881e-06,ok
DeLeon2014_fs_795nm,554.8511891130098,316227.7660168379,1.9870639248256952,-4.25143188140499,5.953799648348605e-06,ok
DeLeon2014_fs_795nm,554.8511891130098,464158.8833612772,1.987063405196504,-4.251420040508872,8.738937914657969e-06,ok
DeLeon2014_fs_795nm,554.8511891130098,681292.0690579609,1.9870626425476923,-4.251402660670342,1.2826910047072372e-05,ok
DeLeon2014_fs_795nm,554.8511891130098,1000000.0,1.987061523267046,-4.251377151030294,1.882712100672924e-05,ok
DeLeon2014_fs_795nm,554.8511891130098,1467799.2676220676,1.9870598806779693,-4.25133970902094,2.76339859584993e-05,ok
DeLeon2014_fs_795nm,554.8511891130098,2154434.6900318824,1.9870574703121493,-4.251284753867964,4.056017819624919e-05,ok
DeLeon2014_fs_795nm,554.8511891130098,3162277.6601683795,1.9870539337257864,-4.251204095476068,5.953211845576113e-05,ok
DeLeon2014_fs_795nm,554.8511891130098,4641588.833612773,1.9870487456279573,-4.251085715361427,8.737671602485041e-05,ok
DeLeon2014_fs_795nm,554.8511891130098,6812920.690579608,1.987041136789995,-4.2509119791175145,0.0001282418208572619,ok
DeLeon2014_fs_795nm,554.8511891130098,10000000.0,1.9870299819986617,-4.250657016575866,0.00018821244505270155,ok
DeLeon2014_fs_795nm,554.8511891130098,14677992.676220676,1.9870136379742216,-4.250282884807031,0.00027621327671755776,ok
DeLeon2014_fs_795nm,554.8511891130098,21544346.900318824,1.986989710581944,-4.249733954246959,0.00040532913865814677,ok
DeLeon2014_fs_795nm,554.8511891130098,31622776.60168379,1.986954724124945,-4.248928707512517,0.0005947340174439861,ok
DeLeon2014_fs_795nm,554.8511891130098,46415888.33612773,1.9869036594584617,-4.247747785175851,0.0008725028583035694,ok
DeLeon2014_fs_795nm,554.8511891130098,68129206.90579608,1.9868293263141148,-4.246016618415967,0.0012796965994135545,ok
DeLeon2014_fs_795nm,554.8511891130098,100000000.0,1.9867215490490646,-4.243480320578169,0.0018762680153363053,ok
DeLeon2014_fs_795nm,554.8511891130098,146779926.76220676,1.9865661981386702,-4.239767651291195,0.0027495378420795756,ok
DeLeon2014_fs_795nm,554.8511891130098,215443469.00318778,1.986344244490211,-4.234339862052946,0.004026226984394059,ok
DeLeon2014_fs_795nm,554.8511891130098,316227766.01683795,1.9860313582453437,-4.2264192838776395,0.005889253663102866,ok
DeLeon2014_fs_795nm,554.8511891130098,464158883.3612773,1.9855993285905083,-4.214892188045601,0.008600581875236862,ok
DeLeon2014_fs_795nm,554.8511891130098,681292069.0579594,1.9850221213836805,-4.1981820385636155,0.012531034122676216,ok
DeLeon2014_fs_795nm,554.8511891130098,1000000000.0,1.984292289461364,-4.174095402295425,0.01819653542508074,ok
DeLeon2014_fs_795nm,554.8511891130098,1467799267.6220675,1.9834582957619822,-4.139658178297777,0.026296634386077124,ok
DeLeon2014_fs_795nm,554.8511891130098,2154434690.031878,1.9826998177988508,-4.090991099360846,0.03774378690797313,ok
