tag,scheme,state,box,scale,elements,N,dir,variant,T_guided,R_guided,P_trans,P_refl,balance,t_re,t_im,r_re,r_im,eta_conj,eta_unconj,n1_re,n1_im,n2_re,n2_im,C1,C2,biorth1,biorth2
sync405_a_A_N200_s1.00_g1.60,sync405,a,A,1.00,17837,100,21,2,0.949429,0.000990,0.004483,0.000123,9.95e-01,-2.620733e-01,-8.905099e-01,5.721555e-03,3.093221e-02,0.956257,0.959498,1.8898484,4.7323e-06,1.8880955,2.45895e-02,0.005034,0.000e+00,0.004568,0.000e+00
sync405_a_A_N200_s1.00_g1.60,sync405,a,A,1.00,17837,120,12,1,0.941248,0.000094,0.005042,0.000008,9.95e-01,-3.192200e-01,9.670502e-01,-9.007836e-03,3.615605e-03,0.956257,0.959498,1.8898484,4.7323e-06,1.8880955,2.45895e-02,0.005034,0.000e+00,0.004568,0.000e+00
sync405_a_A_N200_s1.00_g1.60,sync405,a,A,1.00,17837,120,12,2,0.957828,0.000032,0.005016,0.000018,9.95e-01,-3.066535e-01,9.804688e-01,-5.316958e-03,-1.824479e-03,0.956257,0.959498,1.8898484,4.7323e-06,1.8880955,2.45895e-02,0.005034,0.000e+00,0.004568,0.000e+00
sync405_a_A_N200_s1.00_g1.60,sync405,a,A,1.00,17837,120,21,1,0.952023,0.001312,0.004403,0.000185,9.95e-01,-2.694519e-01,-8.896292e-01,-3.363730e-02,1.342300e-02,0.956257,0.959498,1.8898484,4.7323e-06,1.8880955,2.45895e-02,0.005034,0.000e+00,0.004568,0.000e+00
sync405_a_A_N200_s1.00_g1.60,sync405,a,A,1.00,17837,120,21,2,0.935371,0.001650,0.004398,0.000222,9.95e-01,-2.531962e-01,-8.859024e-01,-2.407787e-03,4.054824e-02,0.956257,0.959498,1.8898484,4.7323e-06,1.8880955,2.45895e-02,0.005034,0.000e+00,0.004568,0.000e+00
sync405_a_A_N200_s1.00_g1.60,sync405,a,A,1.00,17837,150,12,1,0.947285,0.000048,0.005023,0.000009,9.95e-01,-3.180153e-01,9.708785e-01,-6.743904e-03,1.648665e-03,0.956257,0.959498,1.8898484,4.7323e-06,1.8880955,2.45895e-02,0.005034,0.000e+00,0.004568,0.000e+00
sync405_a_A_N200_s1.00_g1.60,sync405,a,A,1.00,17837,150,12,2,0.957994,0.000032,0.005016,0.000018,9.95e-01,-3.068562e-01,9.804988e-01,-5.270552e-03,-2.072403e-03,0.956257,0.959498,1.8898484,4.7323e-06,1.8880955,2.45895e-02,0.005034,0.000e+00,0.004568,0.000e+00
sync405_a_A_N200_s1.00_g1.60,sync405,a,A,1.00,17837,150,21,1,0.952155,0.001301,0.004405,0.000180,9.95e-01,-2.692687e-01,-8.897519e-01,-3.315267e-02,1.422479e-02,0.956257,0.959498,1.8898484,4.7323e-06,1.8880955,2.45895e-02,0.005034,0.000e+00,0.004568,0.000e+00
sync405_a_A_N200_s1.00_g1.60,sync405,a,A,1.00,17837,150,21,2,0.941437,0.001510,0.004428,0.000177,9.95e-01,-2.560102e-01,-8.881980e-01,2.006730e-03,3.880434e-02,0.956257,0.959498,1.8898484,4.7323e-06,1.8880955,2.45895e-02,0.005034,0.000e+00,0.004568,0.000e+00
sync405_a_A_N200_s1.00_g1.60,sync405,a,A,1.00,17837,200,12,1,0.953521,0.000030,0.005024,0.000011,9.95e-01,-3.161326e-01,9.750229e-01,-5.008562e-03,2.272534e-03,0.956257,0.959498,1.8898484,4.7323e-06,1.8880955,2.45895e-02,0.005034,0.000e+00,0.004568,0.000e+00
sync405_a_A_N200_s1.00_g1.60,sync405,a,A,1.00,17837,200,12,2,0.954633,0.000018,0.005017,0.000016,9.95e-01,-3.042068e-01,9.794349e-01,-3.948848e-03,-1.662435e-03,0.956257,0.959498,1.8898484,4.7323e-06,1.8880955,2.45895e-02,0.005034,0.000e+00,0.004568,0.000e+00
sync405_a_A_N200_s1.00_g1.60,sync405,a,A,1.00,17837,200,21,1,0.948651,0.001175,0.004404,0.000179,9.95e-01,-2.706746e-01,-8.875358e-01,-2.892775e-02,1.838454e-02,0.956257,0.959498,1.8898484,4.7323e-06,1.8880955,2.45895e-02,0.005034,0.000e+00,0.004568,0.000e+00
sync405_a_A_N200_s1.00_g1.60,sync405,a,A,1.00,17837,200,21,2,0.947596,0.001239,0.004454,0.000131,9.95e-01,-2.595201e-01,-8.903238e-01,2.646304e-03,3.510576e-02,0.956257,0.959498,1.8898484,4.7323e-06,1.8880955,2.45895e-02,0.005034,0.000e+00,0.004568,0.000e+00
