lambda_nm,Au_re_lerer,Au_im_lerer,Cu_re_lerer,Cu_im_lerer,Au_re_jc,Au_im_jc,Cu_re_jc,Cu_im_jc,cu_lerer_extrapolated
3.460000000000000000e+02,-3.065950000000006170e-01,-6.501611999999999725e+00,3.958576923076918774e+00,-7.108707692307689285e+00,-1.286806837606837561e+00,-5.556088888888888633e+00,-1.675545299145299261e+00,-5.123856410256410143e+00,1.000000000000000000e+00
3.480000000000000000e+02,-3.241800000000001347e-01,-6.483152000000000470e+00,3.846500000000006025e+00,-7.097200000000000841e+00,-1.273439316239316277e+00,-5.566311111111110321e+00,-1.704485470085470133e+00,-5.154574358974358894e+00,1.000000000000000000e+00
3.500000000000000000e+02,-3.454080000000003814e-01,-6.468193999999999555e+00,3.734423076923079066e+00,-7.085692307692298186e+00,-1.260071794871794770e+00,-5.576533333333332898e+00,-1.733425641025641006e+00,-5.185292307692307645e+00,1.000000000000000000e+00
3.520000000000000000e+02,-3.663839999999995989e-01,-6.446030000000000371e+00,3.622346153846166317e+00,-7.074184615384609742e+00,-1.246704273504273486e+00,-5.586755555555555475e+00,-1.762365811965812101e+00,-5.216010256410256396e+00,1.000000000000000000e+00
3.540000000000000000e+02,-3.838089999999998447e-01,-6.427559999999999718e+00,3.510269230769239357e+00,-7.062676923076921298e+00,-1.233336752136751979e+00,-5.596977777777778051e+00,-1.791305982905982974e+00,-5.246728205128205147e+00,1.000000000000000000e+00
3.560000000000000000e+02,-4.122750000000001691e-01,-6.419500000000001094e+00,3.398192307692312397e+00,-7.051169230769232854e+00,-1.254151824817518524e+00,-5.599471532846714616e+00,-1.827940145985401887e+00,-5.265855474452554752e+00,1.000000000000000000e+00
3.580000000000000000e+02,-4.372479999999998590e-01,-6.415086000000000510e+00,3.286115384615385437e+00,-7.039661538461530199e+00,-1.278764963503649765e+00,-5.601106569343064834e+00,-1.865429197080292090e+00,-5.283694890510948206e+00,1.000000000000000000e+00
3.600000000000000000e+02,-4.619489999999997210e-01,-6.403459999999999930e+00,3.174038461538458478e+00,-7.028153846153841755e+00,-1.303378102189781451e+00,-5.602741605839415939e+00,-1.902918248175182958e+00,-5.301534306569343435e+00,1.000000000000000000e+00
3.620000000000000000e+02,-4.868800000000002015e-01,-6.398952000000000417e+00,3.061961538461545729e+00,-7.016646153846153311e+00,-1.327991240875912693e+00,-5.604376642335767045e+00,-1.940407299270073382e+00,-5.319373722627736889e+00,1.000000000000000000e+00
3.640000000000000000e+02,-5.152319999999996902e-01,-6.390674000000000632e+00,2.949884615384618769e+00,-7.005138461538450656e+00,-1.352604379562044157e+00,-5.606011678832118150e+00,-1.977896350364964029e+00,-5.337213138686131231e+00,1.000000000000000000e+00
3.660000000000000000e+02,-5.513199999999995882e-01,-6.396342000000000638e+00,2.837807692307706020e+00,-6.993630769230776423e+00,-1.377217518248175399e+00,-5.607646715328467479e+00,-2.015385401459854453e+00,-5.355052554744525573e+00,1.000000000000000000e+00
3.680000000000000000e+02,-5.949439999999999173e-01,-6.408750000000000391e+00,2.725730769230779060e+00,-6.982123076923073768e+00,-1.402102205882353347e+00,-5.609458823529412719e+00,-2.053662500000000612e+00,-5.372497794117646386e+00,1.000000000000000000e+00
3.700000000000000000e+02,-6.352530000000000676e-01,-6.424795999999999729e+00,2.613653846153852101e+00,-6.970615384615371113e+00,-1.432146323529412069e+00,-5.614635294117647391e+00,-2.106912500000000854e+00,-5.382453676470588810e+00,1.000000000000000000e+00
3.720000000000000000e+02,-6.790769999999999307e-01,-6.436963999999999686e+00,2.501576923076925141e+00,-6.959107692307682669e+00,-1.462190441176470790e+00,-5.619811764705882950e+00,-2.160162500000000652e+00,-5.392409558823529458e+00,1.000000000000000000e+00
3.740000000000000000e+02,-7.195999999999997954e-01,-6.452802000000000149e+00,2.389499999999998181e+00,-6.947599999999994225e+00,-1.492234558823529511e+00,-5.624988235294117622e+00,-2.213412500000000449e+00,-5.402365441176470107e+00,1.000000000000000000e+00
3.760000000000000000e+02,-7.598109999999995701e-01,-6.461339999999999861e+00,2.277423076923071221e+00,-6.936092307692305781e+00,-1.522278676470588454e+00,-5.630164705882353182e+00,-2.266662500000000247e+00,-5.412321323529411643e+00,1.000000000000000000e+00
3.780000000000000000e+02,-7.924400000000000333e-01,-6.463002000000000358e+00,2.165346153846158472e+00,-6.924584615384603126e+00,-1.552322794117647176e+00,-5.635341176470588742e+00,-2.319912500000000488e+00,-5.422277205882353179e+00,1.000000000000000000e+00
3.800000000000000000e+02,-8.250869999999994597e-01,-6.464584000000000330e+00,2.053269230769245723e+00,-6.913076923076921787e+00,-1.582366911764705897e+00,-5.640517647058823414e+00,-2.373162500000000286e+00,-5.432233088235294716e+00,1.000000000000000000e+00
