theta_deg,isolated,embedded_0,embedded_1,embedded_2,embedded_3
6.4,0.998146,0.893276,1.23177,1.12402,1.18585
6.45,0.998115,0.892017,1.23203,1.12368,1.18624
6.5,0.998084,0.890767,1.23228,1.12334,1.18664
6.55,0.998052,0.889527,1.23252,1.123,1.18703
6.6,0.99802,0.888296,1.23276,1.12266,1.18741
6.65,0.997986,0.887075,1.23299,1.12232,1.1878
6.7,0.997952,0.885864,1.23322,1.12198,1.18818
6.75,0.997917,0.884663,1.23344,1.12164,1.18856
6.8,0.997882,0.883471,1.23365,1.12131,1.18893
6.85,0.997845,0.882289,1.23386,1.12097,1.18931
6.9,0.997808,0.881117,1.23406,1.12063,1.18968
6.95,0.99777,0.879956,1.23425,1.1203,1.19004
7,0.997732,0.878804,1.23444,1.11996,1.19041
7.05,0.997692,0.877663,1.23462,1.11963,1.19077
7.1,0.997651,0.876532,1.23479,1.11929,1.19113
7.15,0.99761,0.875411,1.23496,1.11896,1.19149
7.2,0.997568,0.8743,1.23512,1.11862,1.19185
7.25,0.997525,0.8732,1.23527,1.11829,1.1922
7.3,0.99748,0.872111,1.23542,1.11796,1.19255
7.35,0.997435,0.871032,1.23555,1.11763,1.1929
7.4,0.997389,0.869963,1.23568,1.1173,1.19325
7.45,0.997342,0.868905,1.23581,1.11697,1.1936
7.5,0.997294,0.867858,1.23592,1.11664,1.19394
7.55,0.997245,0.866821,1.23603,1.11631,1.19428
7.6,0.997195,0.865795,1.23613,1.11598,1.19462
7.65,0.997144,0.86478,1.23623,1.11565,1.19496
7.7,0.997092,0.863775,1.23631,1.11532,1.1953
7.75,0.997039,0.862782,1.23639,1.11499,1.19563
7.8,0.996985,0.861799,1.23646,1.11467,1.19596
7.85,0.996929,0.860827,1.23652,1.11434,1.19629
7.9,0.996873,0.859866,1.23658,1.11401,1.19662
7.95,0.996815,0.858915,1.23662,1.11369,1.19695
8,0.996756,0.857976,1.23666,1.11336,1.19728
8.05,0.996696,0.857047,1.23669,1.11304,1.1976
8.1,0.996635,0.85613,1.23671,1.11271,1.19792
8.15,0.996573,0.855223,1.23673,1.11239,1.19824
8.2,0.996509,0.854327,1.23673,1.11207,1.19856
8.25,0.996444,0.853442,1.23673,1.11175,1.19888
8.3,0.996378,0.852568,1.23672,1.11142,1.1992
8.35,0.99631,0.851705,1.2367,1.1111,1.19952
8.4,0.996241,0.850853,1.23667,1.11078,1.19983
8.45,0.996171,0.850011,1.23664,1.11046,1.20014
8.5,0.9961,0.849181,1.23659,1.11014,1.20046
8.55,0.996027,0.848361,1.23654,1.10982,1.20077
8.6,0.995952,0.847553,1.23648,1.1095,1.20107
8.65,0.995877,0.846755,1.23641,1.10918,1.20138
8.7,0.9958,0.845968,1.23633,1.10886,1.20169
8.75,0.995721,0.845191,1.23624,1.10855,1.20199
8.8,0.995641,0.844426,1.23614,1.10823,1.2023
8.85,0.995559,0.843671,1.23604,1.10791,1.2026
8.9,0.995476,0.842927,1.23592,1.1076,1.2029
8.95,0.995392,0.842194,1.2358,1.10728,1.2032
9,0.995306,0.841471,1.23567,1.10696,1.2035
9.05,0.995218,0.840759,1.23553,1.10665,1.2038
9.1,0.995129,0.840057,1.23538,1.10634,1.20409
9.15,0.995038,0.839366,1.23522,1.10602,1.20439
9.2,0.994945,0.838686,1.23505,1.10571,1.20468
9.25,0.994851,0.838016,1.23487,1.10539,1.20498
9.3,0.994755,0.837356,1.23468,1.10508,1.20527
9.35,0.994658,0.836707,1.23449,1.10477,1.20556
9.4,0.994559,0.836068,1.23428,1.10446,1.20585
9.45,0.994458,0.835439,1.23407,1.10415,1.20613
9.5,0.994355,0.83482,1.23384,1.10384,1.20642
9.55,0.99425,0.834212,1.23361,1.10353,1.20671
9.6,0.994144,0.833613,1.23337,1.10322,1.20699
9.65,0.994036,0.833025,1.23312,1.10291,1.20727
9.7,0.993926,0.832447,1.23285,1.1026,1.20755
9.75,0.993814,0.831878,1.23258,1.10229,1.20783
9.8,0.9937,0.83132,1.2323,1.10198,1.20811
9.85,0.993585,0.830771,1.23201,1.10167,1.20839
9.9,0.993467,0.830231,1.23172,1.10136,1.20866
9.95,0.993348,0.829702,1.23141,1.10106,1.20894
10,0.993226,0.829182,1.23109,1.10075,1.20921
10.05,0.993103,0.828671,1.23076,1.10044,1.20948
10.1,0.992977,0.82817,1.23043,1.10014,1.20975
10.15,0.99285,0.827678,1.23008,1.09983,1.21002
10.2,0.99272,0.827196,1.22973,1.09953,1.21029
10.25,0.992589,0.826722,1.22936,1.09922,1.21055
10.3,0.992455,0.826258,1.22899,1.09892,1.21081
10.35,0.992319,0.825803,1.2286,1.09861,1.21108
10.4,0.992181,0.825356,1.22821,1.09831,1.21134
10.45,0.992041,0.824919,1.22781,1.09801,1.21159
10.5,0.991899,0.82449,1.2274,1.0977,1.21185
10.55,0.991754,0.82407,1.22698,1.0974,1.2121
10.6,0.991607,0.823659,1.22654,1.0971,1.21236
10.65,0.991458,0.823255,1.2261,1.0968,1.21261
10.7,0.991307,0.822861,1.22565,1.0965,1.21286
10.75,0.991153,0.822474,1.2252,1.09619,1.2131
10.8,0.990997,0.822096,1.22473,1.09589,1.21335
10.85,0.990839,0.821726,1.22425,1.09559,1.21359
10.9,0.990678,0.821364,1.22376,1.09529,1.21383
10.95,0.990515,0.82101,1.22327,1.09499,1.21407
11,0.99035,0.820664,1.22276,1.09469,1.21431
11.05,0.990182,0.820325,1.22224,1.09439,1.21454
11.1,0.990012,0.819994,1.22172,1.09409,1.21478
11.15,0.989839,0.819671,1.22119,1.09379,1.21501
11.2,0.989664,0.819355,1.22064,1.0935,1.21523
11.25,0.989486,0.819046,1.22009,1.0932,1.21546
11.3,0.989306,0.818745,1.21953,1.0929,1.21568
11.35,0.989123,0.81845,1.21896,1.0926,1.2159
11.4,0.988937,0.818163,1.21838,1.0923,1.21612
11.45,0.988749,0.817883,1.21779,1.09201,1.21633
11.5,0.988558,0.817609,1.21719,1.09171,1.21654
11.55,0.988365,0.817342,1.21658,1.09141,1.21675
11.6,0.988169,0.817082,1.21597,1.09111,1.21696
11.65,0.98797,0.816828,1.21534,1.09082,1.21716
11.7,0.987769,0.816581,1.21471,1.09052,1.21736
11.75,0.987565,0.816339,1.21406,1.09022,1.21756
11.8,0.987358,0.816104,1.21341,1.08993,1.21776
11.85,0.987148,0.815875,1.21275,1.08963,1.21795
11.9,0.986935,0.815652,1.21208,1.08933,1.21814
11.95,0.98672,0.815435,1.2114,1.08904,1.21832
12,0.986502,0.815224,1.21072,1.08874,1.2185
12.05,0.986281,0.815018,1.21002,1.08845,1.21868
12.1,0.986057,0.814818,1.20932,1.08815,1.21886
12.15,0.98583,0.814623,1.2086,1.08786,1.21903
12.2,0.9856,0.814433,1.20788,1.08756,1.2192
12.25,0.985367,0.814249,1.20715,1.08726,1.21936
12.3,0.985131,0.81407,1.20641,1.08697,1.21952
12.35,0.984892,0.813895,1.20567,1.08667,1.21968
12.4,0.98465,0.813726,1.20491,1.08638,1.21983
12.45,0.984405,0.813561,1.20415,1.08608,1.21998
12.5,0.984157,0.813401,1.20338,1.08579,1.22013
12.55,0.983906,0.813246,1.2026,1.08549,1.22027
12.6,0.983652,0.813094,1.20181,1.0852,1.2204
12.65,0.983395,0.812948,1.20101,1.0849,1.22054
12.7,0.983134,0.812805,1.20021,1.08461,1.22067
12.75,0.982871,0.812667,1.1994,1.08431,1.22079
12.8,0.982604,0.812532,1.19858,1.08402,1.22091
12.85,0.982334,0.812401,1.19775,1.08372,1.22103
12.9,0.98206,0.812275,1.19691,1.08343,1.22114
12.95,0.981784,0.812151,1.19607,1.08313,1.22124
13,0.981504,0.812032,1.19522,1.08283,1.22135
13.05,0.98122,0.811916,1.19436,1.08254,1.22144
13.1,0.980934,0.811803,1.1935,1.08224,1.22154
13.15,0.980644,0.811693,1.19262,1.08195,1.22162
13.2,0.980351,0.811587,1.19174,1.08165,1.22171
13.25,0.980054,0.811484,1.19085,1.08135,1.22179
13.3,0.979754,0.811383,1.18996,1.08106,1.22186
13.35,0.97945,0.811286,1.18906,1.08076,1.22193
13.4,0.979143,0.811191,1.18815,1.08046,1.22199
13.45,0.978833,0.811099,1.18723,1.08017,1.22205
13.5,0.978518,0.811009,1.18631,1.07987,1.2221
13.55,0.978201,0.810922,1.18538,1.07957,1.22215
13.6,0.97788,0.810837,1.18444,1.07928,1.22219
13.65,0.977555,0.810754,1.1835,1.07898,1.22222
13.7,0.977227,0.810674,1.18255,1.07868,1.22225
13.75,0.976895,0.810595,1.18159,1.07838,1.22228
13.8,0.976559,0.810519,1.18063,1.07808,1.2223
13.85,0.97622,0.810444,1.17966,1.07778,1.22231
13.9,0.975877,0.810371,1.17868,1.07748,1.22232
13.95,0.975531,0.8103,1.1777,1.07719,1.22232
14,0.975181,0.81023,1.17671,1.07689,1.22231
14.05,0.974827,0.810162,1.17572,1.07659,1.2223
14.1,0.974469,0.810095,1.17472,1.07629,1.22228
14.15,0.974107,0.810029,1.17371,1.07598,1.22226
14.2,0.973742,0.809965,1.1727,1.07568,1.22223
14.25,0.973373,0.809901,1.17168,1.07538,1.2222
14.3,0.973,0.809839,1.17066,1.07508,1.22215
14.35,0.972623,0.809778,1.16963,1.07478,1.2221
14.4,0.972242,0.809717,1.16859,1.07448,1.22205
14.45,0.971858,0.809657,1.16755,1.07417,1.22199
14.5,0.971469,0.809598,1.16651,1.07387,1.22192
14.55,0.971077,0.80954,1.16546,1.07357,1.22184
14.6,0.97068,0.809482,1.1644,1.07326,1.22176
14.65,0.97028,0.809424,1.16334,1.07296,1.22167
14.7,0.969875,0.809367,1.16227,1.07265,1.22158
14.75,0.969467,0.80931,1.1612,1.07235,1.22147
14.8,0.969054,0.809253,1.16013,1.07204,1.22137
14.85,0.968638,0.809196,1.15905,1.07174,1.22125
14.9,0.968217,0.80914,1.15796,1.07143,1.22112
14.95,0.967792,0.809083,1.15687,1.07112,1.22099
15,0.967364,0.809026,1.15578,1.07082,1.22086
15.05,0.966931,0.808969,1.15468,1.07051,1.22071
15.1,0.966494,0.808912,1.15358,1.0702,1.22056
15.15,0.966052,0.808855,1.15247,1.06989,1.2204
15.2,0.965607,0.808797,1.15136,1.06958,1.22023
15.25,0.965157,0.808738,1.15024,1.06927,1.22005
15.3,0.964703,0.808679,1.14912,1.06896,1.21987
15.35,0.964245,0.80862,1.148,1.06865,1.21968
15.4,0.963783,0.80856,1.14687,1.06834,1.21948
15.45,0.963316,0.808499,1.14574,1.06802,1.21928
15.5,0.962845,0.808437,1.14461,1.06771,1.21906
15.55,0.96237,0.808374,1.14347,1.0674,1.21884
15.6,0.96189,0.808311,1.14233,1.06708,1.21861
15.65,0.961406,0.808247,1.14118,1.06677,1.21837
15.7,0.960917,0.808181,1.14004,1.06645,1.21813
15.75,0.960425,0.808114,1.13888,1.06614,1.21787
15.8,0.959927,0.808047,1.13773,1.06582,1.21761
15.85,0.959426,0.807978,1.13657,1.06551,1.21734
15.9,0.95892,0.807908,1.13541,1.06519,1.21706
15.95,0.958409,0.807836,1.13425,1.06487,1.21678
16,0.957894,0.807763,1.13308,1.06455,1.21648
16.05,0.957375,0.807689,1.13191,1.06423,1.21618
16.1,0.956851,0.807613,1.13074,1.06391,1.21587
16.15,0.956322,0.807536,1.12957,1.06359,1.21555
16.2,0.955789,0.807457,1.12839,1.06327,1.21522
16.25,0.955251,0.807376,1.12722,1.06295,1.21489
16.3,0.954709,0.807294,1.12603,1.06263,1.21454
16.35,0.954162,0.807211,1.12485,1.06231,1.21419
16.4,0.953611,0.807125,1.12367,1.06198,1.21383
16.45,0.953054,0.807038,1.12248,1.06166,1.21346
16.5,0.952494,0.806949,1.12129,1.06133,1.21308
16.55,0.951928,0.806858,1.1201,1.06101,1.21269
16.6,0.951358,0.806765,1.11891,1.06068,1.21229
16.65,0.950783,0.80667,1.11771,1.06036,1.21189
16.7,0.950204,0.806573,1.11652,1.06003,1.21147
16.75,0.94962,0.806474,1.11532,1.0597,1.21105
16.8,0.949031,0.806373,1.11412,1.05937,1.21062
16.85,0.948437,0.80627,1.11292,1.05904,1.21018
