lambda_nm,R_Au,T_Au,P_Au,lambda_nm_Cu,R_Cu,T_Cu,P_Cu
485.0,0.06743111890364052,0.21910231277192602,0.7134665683244334,445.0,0.0860149117163933,0.11219362504914542,0.8017914632344613
490.0,0.06344659254677429,0.20984495304559342,0.7267084544076323,450.0,0.08771224340676957,0.11292318944038628,0.7993645671528442
495.0,0.05937704900153591,0.19437462501715433,0.7462483259813097,455.0,0.08932630760437475,0.1145370223883807,0.7961366700072445
500.0,0.051963119224348805,0.17839819841107418,0.769638682364577,460.0,0.09088165520713216,0.11645029225945763,0.7926680525334102
505.0,0.052252904816973374,0.14998980686703048,0.7977572883159961,465.0,0.0923749009450865,0.11849833649548745,0.789126762559426
510.0,0.053183909981603356,0.12173144100695694,0.8250846490114396,470.0,0.09379062124330619,0.1206821952483565,0.7855271835083373
515.0,0.056225195778751694,0.09388857475301231,0.849886229468236,475.0,0.09503216822983025,0.12186670266821951,0.7831011291019502
520.0,0.06668666310443999,0.06337255382893948,0.8699407830666205,480.0,0.09610754622855795,0.12268610549204637,0.7812063482793956
525.0,0.08420064024660244,0.03914907458124774,0.8766502851721498,485.0,0.0970030804231941,0.12357890904848022,0.7794180105283257
530.0,0.10968116027830287,0.022050709082935847,0.8682681306387613,490.0,0.09763950114651603,0.1245559641442187,0.7778045347092654
535.0,0.13949164667616168,0.01210289159929745,0.8484054617245409,495.0,0.09781352481124858,0.12564053414583265,0.7765459410429187
540.0,0.17014629059891548,0.006687622719402932,0.8231660866816816,500.0,0.09548693807783153,0.12550711290466332,0.7790059490175052
545.0,0.1966148422681952,0.00415611931425517,0.7992290384175496,505.0,0.09773501759357106,0.12427468657807472,0.7779902958283542
550.0,0.21106340538706697,0.003663652185807556,0.7852729424271254,510.0,0.09944431026700754,0.12338983368133426,0.7771658560516582
555.0,0.21740120171974045,0.004491216117804691,0.7781075821624549,515.0,0.10106979541094775,0.12263105152276754,0.7762991530662847
560.0,0.21625239204617058,0.007575236129639581,0.7761723718241899,520.0,0.10350057792803133,0.12072260169009352,0.7757768203818751
565.0,0.21527028630010342,0.010003844652672901,0.7747258690472236,525.0,0.10654868840884173,0.11862856091458761,0.7748227506765707
570.0,0.21320100116076793,0.013567011641828155,0.7732319871974039,530.0,0.10965772032609057,0.11735194545387416,0.7729903342200353
575.0,0.21013035486672513,0.018668133595590032,0.7712015115376848,535.0,0.11304545915958196,0.11575901535200739,0.7711955254884106
580.0,0.2087423207717922,0.023095616227199627,0.7681620630010082,540.0,0.11650194357412533,0.115161578767097,0.7683364776587777
585.0,0.20677601818730862,0.028728062896779392,0.764495918915912,545.0,0.11999976375967154,0.11561054828543817,0.7643896879548903
590.0,0.2042710860303196,0.03580495158833262,0.7599239623813477,550.0,0.12349758386033882,0.11739293385344848,0.7591094822862127
595.0,0.20126146677258433,0.043473173911882566,0.7552653593155332,555.0,0.1269830126820069,0.12032902528995613,0.752687962028037
600.0,0.1983774861103089,0.05231941463300856,0.7493030992566825,560.0,0.13044242934428543,0.12446612507528333,0.7450914455804313
605.0,0.19538238228459584,0.06374082575822368,0.7408767919571805,565.0,0.13416962434473811,0.1289370590348329,0.736893316620429
610.0,0.19289251005677122,0.07677856432701133,0.7303289256162174,570.0,0.13788547530318698,0.13488024006495528,0.7272342846318578
615.0,0.1912624415061508,0.0913486189343349,0.7173889395595143,575.0,0.1415873711988435,0.14235459334906866,0.7160580354520879
620.0,0.19081070381273052,0.1064646247781401,0.7027246714091294,580.0,0.14523478622593816,0.15169961233595616,0.7030656014381056
625.0,0.19138907732421592,0.12319465203813501,0.685416270637649,585.0,0.14885992856628535,0.16261024537368457,0.6885298260600301
630.0,0.19342239408512552,0.14139880272107863,0.6651788031937959,590.0,0.1524540635244886,0.1750620883557714,0.6724838481197399
635.0,0.1981659336237624,0.16149374786633308,0.6403403185099045,595.0,0.1563964882282234,0.18881520952639252,0.6547883022453841
640.0,0.20540072614563884,0.18212345098885546,0.6124758228655056,600.0,0.16029503901539105,0.2043162341790868,0.6353887268055223
645.0,0.21477053605334873,0.20309078619229548,0.5821386777543558,605.0,0.16410169930019397,0.22145125335367005,0.6144470473461359
650.0,0.2348798685067442,0.2529087672667116,0.5122113642265442,610.0,0.16777772498144342,0.2416082523004169,0.5906140227181397
655.0,0.2506933067684788,0.2997841219945202,0.449522571237001,615.0,0.17118520678235624,0.2629993656696555,0.5658154275479883
660.0,0.2575443403643096,0.34351429221122876,0.3989413674244616,620.0,0.17427791051944982,0.28533433517018486,0.5403877543103652
665.0,0.2493982125932572,0.4052952642115534,0.3453065231951894,625.0,0.17751954098347694,0.3079714066528082,0.5145090523637149
670.0,0.2436907971518747,0.4533316741598954,0.3029775286882299,630.0,0.1805331717375752,0.33134987223771917,0.4881169560247056
675.0,0.25160630912793636,0.48852175786577895,0.2598719330062847,635.0,0.18340916809257105,0.3551645305510837,0.46142630135634527
680.0,0.259125561266878,0.5227207883558335,0.2181536503772885,640.0,0.18412528489824403,0.37489381144453376,0.44098090365722226
685.0,0.25641173926403604,0.5573969993370868,0.1861912613988772,645.0,0.18480906005311773,0.3938703169455671,0.4213206230013152
690.0,0.24581376378293013,0.5919439548332415,0.16224228138382846,650.0,0.18531685337161322,0.4122168589094663,0.4024662877189205
695.0,0.23388134295801088,0.618546891664897,0.14757176537709216,655.0,0.19037983777015233,0.4406610869234481,0.3689590753063996
700.0,0.22025069059397928,0.6443887034418269,0.13536060596419386,660.0,0.19534439259248634,0.470330102907609,0.3343255044999046
705.0,0.20481129645868043,0.6714875765890562,0.12370112695226332,665.0,0.1998457993953399,0.5010609333718966,0.2990932672327635
710.0,0.1893538989875308,0.6968758389317711,0.11377026208069818,670.0,0.19823391912703167,0.5192993193136024,0.2824667615593659
715.0,0.17436050856319138,0.720429540976495,0.10520995046031356,675.0,0.1953546877047284,0.53758395453304,0.2670613577622316
720.0,0.16027884588901686,0.7419846912684313,0.09773646284255189,680.0,0.1912754331852917,0.5559104922083121,0.25281407460639616
725.0,0.14960023173510792,0.7585091429335739,0.0918906253313182,685.0,0.18507840381120655,0.5704988112987642,0.24442278489002922
730.0,0.13003560780059173,0.7844261214267855,0.08553827077262277,690.0,0.17818239894344698,0.5851288607478202,0.23668874030873277
735.0,0.11494742410120051,0.8029430894179709,0.08210948648082861,695.0,0.17076064746787165,0.5997135977612621,0.22952575477086623
740.0,0.10134954430076228,0.8197026199587909,0.07894783574044684,700.0,0.16267338207700657,0.6153805278244673,0.22194609009852617
745.0,0.08896034194053998,0.8350246137503524,0.07601504430910755,705.0,0.1543587798119075,0.6307354567356314,0.21490576345246115
750.0,0.07778534686546854,0.8501183501330709,0.07209630300146053,710.0,0.14596453826733313,0.6456772722445323,0.20835818948813456
755.0,0.06754282264791395,0.8639509779989057,0.06850619935318025,715.0,0.13644473082822375,0.6665317462654323,0.19702352290634395
760.0,0.05817900630401974,0.8766042716250144,0.06521672207096585,720.0,0.12727413155940162,0.6858717931836,0.18685407525699838
765.0,0.049427279922281464,0.8886891113588715,0.061883608718847016,725.0,0.12031676572226968,0.700778766983377,0.17890446729435328
770.0,0.04152889237633895,0.899607280556887,0.058863827066774066,730.0,0.1081714496344863,0.7144870834499747,0.17734146691553898
775.0,0.03443609758882103,0.9094238917324614,0.056140010678717545,735.0,0.09874686117490522,0.7254412541098763,0.17581188471521858
780.0,0.02814883403007539,0.9170766627959912,0.0547745031739334,740.0,0.09003016230063587,0.735639528174498,0.17433030952486617
785.0,0.02257663410477271,0.9238387631570851,0.05358460273814214,745.0,0.08068334389359488,0.75108609507519,0.16823056103121514
790.0,0.01768070870380882,0.9297220449921655,0.052597246304025735,750.0,0.07191308843260111,0.765607103244676,0.1624798083227229
795.0,0.013445965525856644,0.9354985787654633,0.051055455708680086,755.0,0.06369384708928043,0.7792439915771355,0.15706216133358408
800.0,0.009816776779484929,0.9403176104266301,0.04986561279388502,760.0,0.05592243178209337,0.7912959005799479,0.15278166763795875
805.0,0.006813471855261232,0.943493990719552,0.049692537425186756,765.0,0.04871352095122569,0.8025168970498768,0.14876958199889745
810.0,0.00442378160942412,0.945532314703462,0.050043903687113866,770.0,0.04205496897704509,0.8129108502507927,0.14503418077216224
