I_wcm2,lambda_nm,R,T,P,branchA_status
5000000.0,755.0,0.07416243928640666,0.862487751164838,0.06334980954875535,ok
5000000.0,760.0,0.06447222976423651,0.8742056204704732,0.06132214976529027,ok
5000000.0,765.0,0.05553813749661872,0.8850162764133758,0.0594455860900055,ok
5000000.0,770.0,0.047373457281868266,0.8949225005711395,0.05770404214699221,ok
5000000.0,775.0,0.03994636599405694,0.9039534588106294,0.05610017519531363,ok
5000000.0,780.0,0.03322653878096999,0.9121328471636074,0.05464061405542253,ok
5000000.0,785.0,0.02718498356027487,0.9194780640704153,0.0533369523693098,ok
5000000.0,790.0,0.021794443287993133,0.9259981284221712,0.0522074282898356,ok
5000000.0,795.0,0.017030438001647368,0.9316898966288126,0.051279665369539984,ok
5000000.0,800.0,0.012873251429641895,0.9365315895064854,0.050595159063872686,ok
5000000.0,805.0,0.009311551892728484,0.9404716676030621,0.05021678050420941,ok
5000000.0,810.0,0.006349105962868978,0.9434091456463967,0.050241748390734364,ok
5000000.0,815.0,0.004017732980171726,0.9451572426880955,0.05082502433173275,ok
5000000.0,820.0,0.0024036455105189915,0.9453726090766668,0.05222374541281427,ok
5000000.0,825.0,0.0016974212683916624,0.9436841472809966,0.05461843145061174,ok
5000000.0,830.0,0.002386902451724661,0.9385525770111187,0.0590605205371566,ok
5000000.0,835.0,0.005559462275743905,0.9270979421226803,0.06734259560157585,ok
5000000.0,840.0,0.01399998364496908,0.9026415045291258,0.08335851182590504,ok
5000000.0,845.0,0.03582470603144686,0.8470417470093136,0.11713354695923961,ok
5000000.0,850.0,0.09779556330115076,0.7051616182510754,0.19704281844777383,ok
5000000.0,855.0,0.2682963378301763,0.3591527662086824,0.3725508959611412,ok
5000000.0,860.0,0.3852377893509706,0.20474716948180732,0.41001504116722204,ok
5000000.0,865.0,0.24060822788720812,0.5443717726560449,0.215019999456747,ok
5000000.0,870.0,0.14357720700343624,0.7413213022407663,0.11510149075579745,ok
5000000.0,875.0,0.09859893953532306,0.8276757036420754,0.0737253568226015,ok
5000000.0,880.0,0.07611745748724645,0.8698801134776591,0.054002429035094446,ok
5000000.0,885.0,0.06393471108048313,0.8928908166824006,0.043174472237116346,ok
5000000.0,890.0,0.057062472492491405,0.9064071627965705,0.03653036471093807,ok
5000000.0,895.0,0.05323802092525616,0.9144441035140144,0.0323178755607294,ok
20000000.0,400.0,0.06477061888716419,0.17500873640935743,0.7602206447034784,ok
20000000.0,405.0,0.06611936501635485,0.1780201893931404,0.7558604455905047,ok
20000000.0,410.0,0.06765805695378165,0.18102146672657182,0.7513204763196465,ok
20000000.0,415.0,0.06930637807719331,0.1843329784128115,0.7463606435099952,ok
20000000.0,420.0,0.07098794309911395,0.18825758042582008,0.740754476475066,ok
20000000.0,425.0,0.07268485930023533,0.19223256573561603,0.7350825749641485,ok
20000000.0,430.0,0.07433690598723795,0.19624981120546017,0.7294132828073019,ok
20000000.0,435.0,0.07570757803996145,0.19922147757164335,0.7250709443883953,ok
20000000.0,440.0,0.07684343509608307,0.2021062294113149,0.7210503354926021,ok
20000000.0,445.0,0.07773149351583074,0.20501086132166532,0.7172576451625039,ok
20000000.0,450.0,0.07835377291997855,0.20792759448300951,0.713718632597012,ok
