lambda_nm,R_Au,T_Au,P_Au,lambda_nm_Cu,R_Cu,T_Cu,P_Cu
625.0,0.05818617832003743,0.45883642044204553,0.482977401237917,625.0,0.048697313721481464,0.36441687310948245,0.5868858131690361
630.0,0.05620548990423374,0.5044244257296917,0.4393700843660746,630.0,0.04722102055644821,0.42118082079732605,0.5315981586462257
635.0,0.051877919228995026,0.5538752332399777,0.39424684753102734,635.0,0.04422033909438629,0.47763161641160207,0.47814804449401166
640.0,0.047178096274972305,0.6061743369527379,0.3466475667722898,640.0,0.04043361870786631,0.5344350227503718,0.4251313585417619
645.0,0.043212826803110525,0.6565004598572576,0.30028671333963186,645.0,0.03661286366874615,0.5891434408356904,0.37424369549556347
650.0,0.03963652267348138,0.7013391688567,0.2590243084698186,650.0,0.03285760936170167,0.6389106483704047,0.32823174226789364
655.0,0.036027650825924816,0.7397468517951519,0.22422549737892328,655.0,0.029022160172382655,0.6823644476707068,0.2886133921569105
660.0,0.03215774370848307,0.7715475204658553,0.1962947358256616,660.0,0.024977774842154493,0.7186249970957496,0.25639722806209597
665.0,0.027607801693910992,0.792923918832527,0.17946827947356203,665.0,0.02058381891270565,0.742854293365007,0.23656188772228737
670.0,0.022670118394971336,0.8092769254383025,0.1680529561667261,670.0,0.01596766262438975,0.7619129127750223,0.22211942460058798
675.0,0.016993649822499794,0.818730653056801,0.16427569712069912,675.0,0.011544112409308478,0.777637720444623,0.2108181671460685
680.0,0.011158260544488865,0.8243265720216428,0.1645151674338683,680.0,0.008640394889680894,0.797385479600953,0.1939741255093661
685.0,0.009098690135616663,0.847187057302931,0.14371425256145232,685.0,0.006918089856524152,0.8203577017001743,0.1727242084433015
690.0,0.00797162240428203,0.8706560699315256,0.12137230766419238,690.0,0.0052407356172515605,0.8396638650785069,0.15509539930424154
695.0,0.006303803757687055,0.8862360953671942,0.10746010087511881,695.0,0.0037094310891633503,0.8549284461668893,0.14136212274394733
700.0,0.004826057714613284,0.8975222250542711,0.09765171723111554,700.0,0.002615424621616667,0.8672537811143481,0.13013079426403518
705.0,0.003933538771185212,0.9060967151874818,0.08996974604133301,705.0,0.0021434908446722515,0.8770583291090335,0.12079818004629428
710.0,0.003821378704351877,0.9118102826293374,0.08436833866631077,710.0,0.0023996955261971656,0.8830599406377213,0.11454036383608157
715.0,0.0047834581748258465,0.9155441036615415,0.07967243816363268,715.0,0.0036048552096182066,0.8872083897181757,0.1091867550722061
