design,formula,lambda_nm,Re_eps_eff,Im_eps_eff,R,T,A
improved,Bruggeman,450,3.173192,0.794040,0.003508,0.000000,0.996492
improved,Bruggeman,460,3.123410,0.797940,0.002184,0.000000,0.997816
improved,Bruggeman,470,3.063263,0.808507,0.001136,0.000000,0.998864
improved,Bruggeman,480,2.991458,0.831513,0.000435,0.000000,0.999565
improved,Bruggeman,490,2.893289,0.887104,0.000073,0.000000,0.999927
improved,Bruggeman,500,2.802298,0.977906,0.000004,0.000000,0.999996
improved,Bruggeman,510,2.737531,1.129135,0.000116,0.000000,0.999884
improved,Bruggeman,520,2.703811,1.307345,0.000363,0.000000,0.999637
improved,Bruggeman,530,2.736902,1.506156,0.000674,0.000000,0.999326
improved,Bruggeman,540,2.795338,1.702607,0.001041,0.000000,0.998959
improved,Bruggeman,550,2.873005,1.832078,0.001411,0.000000,0.998589
improved,Bruggeman,560,2.959776,1.958518,0.001822,0.000000,0.998178
improved,Bruggeman,570,3.004530,2.024050,0.002333,0.000000,0.997667
improved,Bruggeman,580,3.021985,2.056479,0.002953,0.000000,0.997047
improved,Bruggeman,590,3.040342,2.090469,0.003650,0.000000,0.996350
improved,Bruggeman,600,3.058410,2.123875,0.004423,0.000000,0.995577
improved,Bruggeman,610,3.077098,2.157325,0.005266,0.000000,0.994734
improved,Bruggeman,620,3.097981,2.190438,0.006171,0.000000,0.993829
improved,Bruggeman,630,3.117928,2.223939,0.007142,0.000000,0.992858
improved,Bruggeman,640,3.138507,2.257473,0.008172,0.000000,0.991828
improved,Bruggeman,650,3.160745,2.291612,0.009257,0.000000,0.990743
improved,Bruggeman,660,3.306895,2.373775,0.010176,0.000000,0.989824
improved,Bruggeman,670,3.503603,2.458547,0.011074,0.000000,0.988926
improved,Bruggeman,680,3.710287,2.528606,0.012030,0.000000,0.987970
improved,Bruggeman,690,3.921255,2.579140,0.013059,0.000000,0.986941
improved,Bruggeman,700,4.092877,2.604059,0.014231,0.000000,0.985769
improved,Bruggeman,710,4.269680,2.617118,0.015475,0.000000,0.984525
improved,Bruggeman,720,4.450082,2.617351,0.016791,0.000000,0.983209
improved,Bruggeman,730,4.633692,2.603886,0.018182,0.000000,0.981818
improved,Bruggeman,740,4.790094,2.579546,0.019683,0.000000,0.980317
improved,Bruggeman,750,4.948895,2.543736,0.021251,0.000000,0.978749
improved,MLWA15,400,3.185116,0.877190,0.011525,0.000000,0.988475
improved,MLWA15,410,3.182797,0.884084,0.009471,0.000000,0.990529
improved,MLWA15,420,3.178065,0.885120,0.007666,0.000000,0.992334
improved,MLWA15,430,3.168263,0.882756,0.006045,0.000000,0.993955
improved,MLWA15,440,3.144459,0.879005,0.004512,0.000000,0.995488
improved,MLWA15,450,3.095554,0.877481,0.003029,0.000000,0.996971
improved,MLWA15,460,3.032278,0.874778,0.001758,0.000000,0.998242
improved,MLWA15,470,2.952457,0.876305,0.000799,0.000000,0.999201
improved,MLWA15,480,2.851283,0.886882,0.000220,0.000000,0.999780
improved,MLWA15,490,2.695568,0.921772,0.000003,0.000000,0.999997
improved,MLWA15,500,2.513026,0.993556,0.000086,0.000000,0.999914
improved,MLWA15,510,2.275543,1.162938,0.000476,0.000000,0.999524
improved,MLWA15,520,1.963624,1.432202,0.001442,0.000000,0.998558
improved,MLWA15,530,1.610762,1.988760,0.003633,0.000000,0.996367
improved,MLWA15,540,1.214322,3.000284,0.008210,0.000000,0.991790
improved,MLWA15,550,1.333332,4.314891,0.010319,0.000000,0.989681
improved,MLWA15,560,2.426371,6.051381,0.009042,0.000000,0.990958
improved,MLWA15,570,3.703824,6.830095,0.007285,0.000000,0.992715
improved,MLWA15,580,4.530243,7.093432,0.006363,0.000000,0.993637
improved,MLWA15,590,5.488499,7.169680,0.005688,0.000000,0.994312
improved,MLWA15,600,6.458382,7.005635,0.005299,0.000000,0.994701
improved,MLWA15,610,7.364456,6.591211,0.005065,0.000000,0.994935
improved,MLWA15,620,8.102010,5.940585,0.004744,0.000000,0.995256
improved,MLWA15,630,8.641317,5.199201,0.004224,0.000000,0.995776
improved,MLWA15,640,8.966543,4.418085,0.003423,0.000000,0.996577
improved,MLWA15,650,9.097176,3.648814,0.002475,0.000000,0.997525
improved,MLWA15,660,8.138954,1.926025,0.001041,0.000000,0.998959
improved,MLWA15,670,7.156311,1.039452,0.005889,0.000000,0.994111
improved,MLWA15,680,6.510851,0.638225,0.019844,0.000000,0.980156
improved,MLWA15,690,6.079831,0.434347,0.016657,0.000008,0.983335
improved,MLWA15,700,5.826211,0.336881,0.007222,0.000063,0.992715
improved,MLWA15,710,5.625923,0.268933,0.002544,0.000252,0.997204
improved,MLWA15,720,5.465283,0.219996,0.003880,0.000655,0.995465
improved,MLWA15,730,5.333904,0.183566,0.026259,0.001283,0.972458
improved,MLWA15,740,5.239524,0.160111,0.016463,0.002024,0.981513
improved,MLWA15,750,5.157578,0.140959,0.091802,0.002632,0.905566
improved,Lerer,400,3.194734,0.830971,0.011671,0.000000,0.988329
improved,Lerer,410,3.188861,0.839821,0.009582,0.000000,0.990418
improved,Lerer,420,3.178451,0.844531,0.007732,0.000000,0.992268
improved,Lerer,430,3.162393,0.848297,0.006055,0.000000,0.993945
improved,Lerer,440,3.133468,0.856700,0.004462,0.000000,0.995538
improved,Lerer,450,3.082338,0.877743,0.002940,0.000000,0.997060
improved,Lerer,460,3.015833,0.903503,0.001663,0.000000,0.998337
improved,Lerer,470,2.932894,0.940527,0.000741,0.000000,0.999259
improved,Lerer,480,2.829020,0.997308,0.000213,0.000000,0.999787
improved,Lerer,490,2.672835,1.111323,0.000033,0.000000,0.999967
improved,Lerer,500,2.498152,1.295236,0.000171,0.000000,0.999829
improved,Lerer,510,2.323620,1.665444,0.000765,0.000000,0.999235
improved,Lerer,520,2.187741,2.294714,0.002154,0.000000,0.997846
improved,Lerer,530,2.568526,3.353490,0.003863,0.000000,0.996137
improved,Lerer,540,4.059276,4.337618,0.004391,0.000000,0.995609
improved,Lerer,550,5.546516,3.826406,0.003344,0.000000,0.996656
improved,Lerer,560,6.294639,2.678775,0.002165,0.000000,0.997835
improved,Lerer,570,6.399688,2.117992,0.001220,0.000000,0.998780
improved,Lerer,580,6.428360,1.885405,0.000600,0.000000,0.999400
improved,Lerer,590,6.432685,1.657641,0.000188,0.000000,0.999812
