lambda_nm,I_wcm2,P_lin,P_dec,P_sc,dP_dec,dP_sc,ratio_cyl_lin,ratio_film_lin,ratio_cyl_sc,ratio_film_sc,Re_eps_cyl_sc,Im_eps_cyl_sc,Re_eps_film_sc,Im_eps_film_sc,Re_eps_dec,Im_eps_dec,iterations,converged
530,5.000e+06,0.882608,0.879957,0.882088,-0.002652,-0.000520,0.86021,0.23534,0.85886,0.23685,2.01911,1.96965,1.96758,1.97339,2.03008,1.96870,16,1
530,2.000e+07,0.882608,0.872744,0.879942,-0.009864,-0.002666,0.86021,0.23534,0.85719,0.24100,2.18788,1.94950,2.02730,1.96895,2.21851,1.94453,17,1
540,1.000e+06,0.914981,0.914392,0.915173,-0.000590,+0.000192,0.73211,0.15956,0.73316,0.16024,1.79752,2.63272,1.77736,2.63835,1.80665,2.63013,15,1
540,5.000e+06,0.914981,0.912014,0.915678,-0.002967,+0.000696,0.73211,0.15956,0.73714,0.16282,1.89037,2.60502,1.80031,2.63193,1.92681,2.59334,16,1
540,2.000e+07,0.914981,0.903537,0.915463,-0.011445,+0.000482,0.73211,0.15956,0.74957,0.17097,2.14112,2.51509,1.88266,2.60743,2.22145,2.48138,18,1
550,1.000e+06,0.924406,0.924487,0.925146,+0.000081,+0.000740,0.58148,0.10111,0.58451,0.10196,1.82252,3.61911,1.79301,3.63880,1.84663,3.60281,15,1
550,5.000e+06,0.924406,0.923990,0.927541,-0.000415,+0.003135,0.58148,0.10111,0.59550,0.10512,1.94796,3.53227,1.81901,3.62147,2.03410,3.46959,17,1
550,2.000e+07,0.924406,0.918382,0.931929,-0.006024,+0.007523,0.58148,0.10111,0.62665,0.11503,2.26490,3.28850,1.91550,3.55523,2.41829,3.15659,19,1
560,1.000e+06,0.922162,0.922926,0.923060,+0.000764,+0.000898,0.44752,0.06936,0.45139,0.07001,2.44729,4.89812,2.42487,4.93860,2.47744,4.84326,15,1
560,5.000e+06,0.922162,0.924405,0.926193,+0.002243,+0.004031,0.44752,0.06936,0.46577,0.07255,2.54194,4.72413,2.44219,4.90735,2.64536,4.52786,17,1
560,2.000e+07,0.922162,0.922247,0.933600,+0.000085,+0.011438,0.44752,0.06936,0.50855,0.08107,2.78705,4.24751,2.50896,4.78534,2.95554,3.89486,20,1
570,1.000e+06,0.921505,0.921909,0.922026,+0.000404,+0.000521,0.36844,0.06237,0.37142,0.06276,4.11149,5.92762,4.11829,5.97151,4.09865,5.84267,14,1
570,5.000e+06,0.921505,0.922692,0.923978,+0.001187,+0.002472,0.36844,0.06237,0.38298,0.06434,4.08205,5.72853,4.11256,5.93458,4.03930,5.40764,17,1
570,2.000e+07,0.921505,0.920569,0.929634,-0.000936,+0.008129,0.36844,0.06237,0.42152,0.07018,4.00713,5.13134,4.09105,5.79101,3.95107,4.51983,20,1
580,1.000e+06,0.917729,0.917513,0.917857,-0.000216,+0.000128,0.36650,0.08363,0.36802,0.08381,6.33453,5.57640,6.35972,5.59576,6.28048,5.53411,14,1
580,5.000e+06,0.917729,0.916556,0.918355,-0.001173,+0.000626,0.36650,0.08363,0.37411,0.08458,6.21020,5.47755,6.32973,5.57269,5.99151,5.28942,16,1
580,2.000e+07,0.917729,0.912214,0.920001,-0.005514,+0.002272,0.36650,0.08363,0.39656,0.08769,5.82490,5.13257,6.21936,5.48503,5.37083,4.63262,19,1
590,1.000e+06,0.877754,0.878047,0.877827,+0.000293,+0.000073,0.44121,0.15220,0.44150,0.15204,7.53558,3.90367,7.55197,3.90322,7.50430,3.90429,13,1
590,5.000e+06,0.877754,0.878922,0.878105,+0.001168,+0.000351,0.44121,0.15220,0.44274,0.15144,7.43791,3.90464,7.51784,3.90406,7.29334,3.90081,15,1
590,2.000e+07,0.877754,0.879487,0.878987,+0.001733,+0.001233,0.44121,0.15220,0.44861,0.14992,7.10505,3.88637,7.39610,3.90418,6.67545,3.81239,17,1
600,1.000e+06,0.778135,0.779456,0.778574,+0.001320,+0.000439,0.55996,0.25870,0.55950,0.25810,7.57434,2.44285,7.58114,2.43913,7.56442,2.44821,12,1
600,5.000e+06,0.778135,0.784341,0.780265,+0.006206,+0.002130,0.55996,0.25870,0.55776,0.25581,7.52436,2.46927,7.55815,2.45158,7.47531,2.49371,14,1
600,2.000e+07,0.778135,0.798046,0.785806,+0.019911,+0.007671,0.55996,0.25870,0.55290,0.24845,7.34417,2.55222,7.47599,2.49338,7.16063,2.61852,16,1
610,1.000e+06,0.648096,0.649787,0.648902,+0.001691,+0.000806,0.70713,0.37177,0.70613,0.37093,7.22650,1.53836,7.22932,1.53539,7.22403,1.54096,12,1
610,5.000e+06,0.648096,0.656302,0.652036,+0.008206,+0.003940,0.70713,0.37177,0.70226,0.36767,7.20281,1.56282,7.21696,1.54832,7.19016,1.57550,14,1
