lower_fill,lower_t_nm,spacer_nm,lambda_nm,A_layers
0.20,2000,150,660,0.994979
0.20,2000,150,670,0.979588
0.20,2000,150,680,0.982826
0.20,2000,150,690,0.994670
0.20,2000,150,700,0.998870
0.20,2000,150,710,0.995123
0.20,2000,150,720,0.965846
0.20,2000,150,730,0.978566
0.20,2000,150,740,0.903814
0.20,2000,150,750,0.987026
0.30,1500,0,400,0.986891
0.30,1500,0,410,0.989279
0.30,1500,0,420,0.991254
0.30,1500,0,430,0.992934
0.30,1500,0,440,0.994525
0.30,1500,0,450,0.996175
0.30,1500,0,460,0.997716
0.30,1500,0,470,0.998944
0.30,1500,0,480,0.999697
0.30,1500,0,490,0.999975
0.30,1500,0,500,0.999906
0.30,1500,0,510,0.999458
0.30,1500,0,520,0.998197
0.30,1500,0,530,0.995577
0.30,1500,0,540,0.992512
0.30,1500,0,550,0.993338
0.30,1500,0,560,0.994845
0.30,1500,0,570,0.995644
0.30,1500,0,580,0.996292
0.30,1500,0,590,0.996987
0.30,1500,0,600,0.997747
0.30,1500,0,610,0.998540
0.30,1500,0,620,0.999178
0.30,1500,0,630,0.999310
0.30,1500,0,640,0.998985
0.30,1500,0,650,0.999105
0.30,1500,0,660,0.989801
0.30,1500,0,670,0.953083
0.30,1500,0,680,0.959341
0.30,1500,0,690,0.985398
0.30,1500,0,700,0.996142
0.30,1500,0,710,0.988304
0.30,1500,0,720,0.964979
0.30,1500,0,730,0.942834
0.30,1500,0,740,0.922501
0.30,1500,0,750,0.883456
0.30,1500,25,400,0.986891
0.30,1500,25,410,0.989279
0.30,1500,25,420,0.991254
0.30,1500,25,430,0.992934
0.30,1500,25,440,0.994525
0.30,1500,25,450,0.996175
0.30,1500,25,460,0.997716
0.30,1500,25,470,0.998944
0.30,1500,25,480,0.999697
0.30,1500,25,490,0.999975
0.30,1500,25,500,0.999906
0.30,1500,25,510,0.999458
0.30,1500,25,520,0.998197
0.30,1500,25,530,0.995577
0.30,1500,25,540,0.992512
0.30,1500,25,550,0.993338
0.30,1500,25,560,0.994845
0.30,1500,25,570,0.995644
