metal,table,nG,lambda_nm,Re_eps_metal,Im_eps_metal,Re_eps_eff,Im_eps_eff,R,T,A,R_dB
Ag,lerer,221,447.0,-5.930191,0.746640,-1.936160,3.307812,0.1181981,0.0000000,0.8818019,-9.274
Ag,lerer,221,448.0,-5.979396,0.744800,-2.063246,3.492801,0.1221736,0.0000000,0.8778264,-9.130
Ag,lerer,221,449.0,-6.028496,0.747840,-2.170725,3.704133,0.1247681,0.0000000,0.8752319,-9.039
Ag,lerer,221,451.0,-6.127900,0.744000,-2.430566,4.158499,0.1314600,0.0000000,0.8685400,-8.812
Ag,lerer,221,452.0,-6.172920,0.741722,-2.550656,4.388223,0.1341996,0.0000000,0.8658004,-8.722
Ag,lerer,221,453.0,-6.223097,0.739704,-2.680086,4.666373,0.1368337,0.0000000,0.8631663,-8.638
Ag,lerer,221,454.0,-6.273177,0.742664,-2.774225,4.978743,0.1378551,0.0000000,0.8621449,-8.606
Ag,lerer,221,456.0,-6.369468,0.738176,-2.997896,5.630771,0.1412846,0.0000000,0.8587154,-8.499
Ag,lerer,221,457.0,-6.420419,0.736020,-3.100108,6.020410,0.1424890,0.0000000,0.8575110,-8.462
Ag,lerer,221,458.0,-6.471568,0.733824,-3.187868,6.445387,0.1432886,0.0000000,0.8567114,-8.438
Ag,lerer,221,459.0,-6.522628,0.736704,-3.208027,6.909105,0.1423511,0.0000000,0.8576489,-8.466
Ag,lerer,221,461.0,-6.615612,0.731584,-3.266153,7.840939,0.1420317,0.0000000,0.8579683,-8.476
Ag,lerer,221,462.0,-6.662061,0.734140,-3.192861,8.349276,0.1400109,0.0000000,0.8599891,-8.538
Ag,lerer,221,463.0,-6.708955,0.731508,-3.135699,8.898758,0.1388926,0.0000000,0.8611074,-8.573
Ag,lerer,221,464.0,-6.756009,0.728840,-3.031737,9.482489,0.1373744,0.0000000,0.8626256,-8.621
Ag,lerer,221,466.0,-6.850320,0.728638,-2.577635,10.704749,0.1319403,0.0000000,0.8680597,-8.796
Ag,lerer,221,467.0,-6.897856,0.725880,-2.274401,11.359992,0.1292545,0.0000000,0.8707455,-8.886
Ag,lerer,221,468.0,-6.945277,0.728364,-1.818224,11.969779,0.1250896,0.0000000,0.8749104,-9.028
Ag,lerer,221,469.0,-6.993135,0.725552,-1.336826,12.621937,0.1217098,0.0000000,0.8782902,-9.147
Ag,lerer,221,521.0,-9.624384,0.801090,8.385296,1.456634,0.0035624,0.0000023,0.9964353,-24.483
Ag,lerer,221,522.0,-9.674128,0.803154,8.312989,1.405091,0.0031496,0.0000035,0.9968469,-25.017
Ag,lerer,221,523.0,-9.724000,0.805218,8.242669,1.356141,0.0027695,0.0000052,0.9972253,-25.576
Ag,lerer,221,524.0,-9.774000,0.807282,8.174275,1.309618,0.0024218,0.0000077,0.9975705,-26.159
Ag,lerer,221,526.0,-9.874384,0.811410,8.043022,1.223252,0.0018233,0.0000156,0.9981610,-27.391
Ag,lerer,221,527.0,-9.924768,0.813474,7.980043,1.183138,0.0015718,0.0000218,0.9984064,-28.036
Ag,lerer,221,528.0,-9.975280,0.815538,7.918753,1.144905,0.0013518,0.0000299,0.9986183,-28.691
Ag,lerer,221,529.0,-10.025920,0.817602,7.859094,1.108440,0.0011632,0.0000406,0.9987962,-29.343
