design,au_model,lambda_nm,R,T,A_layers,A_total
improved,lerer_fit,410.0,0.010933,0.000000,0.989067,0.989067
improved,lerer_fit,420.0,0.008852,0.000000,0.991148,0.991148
improved,lerer_fit,430.0,0.007016,0.000000,0.992984,0.992984
improved,lerer_fit,440.0,0.005309,0.000000,0.994691,0.994691
improved,lerer_fit,450.0,0.003656,0.000000,0.996344,0.996344
improved,lerer_fit,460.0,0.002205,0.000000,0.997795,0.997795
improved,lerer_fit,470.0,0.001072,0.000000,0.998928,0.998928
improved,lerer_fit,480.0,0.000346,0.000000,0.999654,0.999654
improved,lerer_fit,490.0,0.000029,0.000000,0.999971,0.999971
improved,lerer_fit,500.0,0.000155,0.000000,0.999845,0.999845
improved,lerer_fit,510.0,0.000717,0.000000,0.999283,0.999283
improved,lerer_fit,520.0,0.002198,0.000000,0.997802,0.997802
improved,lerer_fit,530.0,0.005435,0.000000,0.994565,0.994565
improved,lerer_fit,540.0,0.009950,0.000000,0.990050,0.990050
improved,lerer_fit,550.0,0.010145,0.000000,0.989855,0.989855
improved,lerer_fit,560.0,0.008580,0.000000,0.991420,0.991420
improved,lerer_fit,570.0,0.007393,0.000000,0.992607,0.992607
improved,lerer_fit,580.0,0.006469,0.000000,0.993531,0.993531
improved,lerer_fit,590.0,0.005459,0.000000,0.994541,0.994541
improved,lerer_fit,600.0,0.004357,0.000000,0.995643,0.995643
improved,lerer_fit,610.0,0.003192,0.000000,0.996808,0.996808
improved,lerer_fit,620.0,0.002097,0.000000,0.997903,0.997903
improved,lerer_fit,630.0,0.001368,0.000000,0.998632,0.998632
improved,lerer_fit,640.0,0.000994,0.000000,0.999006,0.999006
improved,lerer_fit,650.0,0.000582,0.000000,0.999418,0.999418
improved,lerer_fit,660.0,0.003086,0.000000,0.996914,0.996914
improved,lerer_fit,670.0,0.017875,0.000001,0.982125,0.982125
improved,lerer_fit,680.0,0.016884,0.000040,0.983076,0.983116
improved,lerer_fit,690.0,0.006969,0.000340,0.992691,0.993031
improved,lerer_fit,700.0,0.003506,0.000945,0.995549,0.996494
improved,lerer_fit,710.0,0.008630,0.001875,0.989496,0.991370
improved,lerer_fit,720.0,0.016633,0.003175,0.980191,0.983367
improved,lerer_fit,730.0,0.052032,0.004376,0.943592,0.947968
improved,lerer_fit,740.0,0.123600,0.005250,0.871150,0.876400
improved,lerer_fit,750.0,0.004364,0.007593,0.988043,0.995636
improved,lerer_fit,760.0,0.145478,0.007645,0.846877,0.854522
improved,lerer_fit,770.0,0.271768,0.007480,0.720751,0.728232
improved,lerer_fit,780.0,0.134166,0.010391,0.855443,0.865834
improved,lerer_fit,790.0,0.036956,0.013310,0.949734,0.963044
improved,lerer_fit,800.0,0.272465,0.011085,0.716449,0.727535
improved,lerer_fit,820.0,0.307718,0.012291,0.679991,0.692282
improved,lerer_fit,840.0,0.181802,0.017513,0.800685,0.818198
improved,lerer_fit,860.0,0.444384,0.013541,0.542076,0.555616
improved,lerer_fit,880.0,0.310740,0.018306,0.670954,0.689260
improved,lerer_fit,900.0,0.364935,0.018977,0.616089,0.635065
improved,lerer_fit,920.0,0.539340,0.015703,0.444958,0.460660
improved,lerer_fit,940.0,0.431904,0.021401,0.546695,0.568096
improved,lerer_fit,960.0,0.367546,0.025545,0.606909,0.632454
improved,lerer_fit,980.0,0.611664,0.016752,0.371584,0.388336
improved,lerer_fit,1000.0,0.689641,0.014534,0.295825,0.310359
improved,lerer_fit,1020.0,0.593595,0.020869,0.385535,0.406405
improved,lerer_fit,1040.0,0.367572,0.035422,0.597005,0.632428
improved,lerer_fit,1060.0,0.560352,0.026380,0.413268,0.439648
improved,lerer_fit,1080.0,0.752847,0.015590,0.231563,0.247153
improved,lerer_fit,1100.0,0.797366,0.013438,0.189196,0.202634
improved,lerer_fit,1120.0,0.758317,0.017104,0.224579,0.241683
improved,lerer_fit,1140.0,0.612826,0.029511,0.357664,0.387174
improved,lerer_fit,1160.0,0.479611,0.042718,0.477672,0.520389
improved,lerer_fit,1180.0,0.654010,0.030244,0.315747,0.345990
improved,lerer_fit,1200.0,0.788373,0.019342,0.192284,0.211627
improved,lerer_fit,1220.0,0.835843,0.015479,0.148678,0.164157
improved,lerer_fit,1240.0,0.836060,0.015872,0.148068,0.163940
improved,lerer_fit,1260.0,0.771910,0.020248,0.207841,0.228090
improved,lerer_fit,1280.0,0.687233,0.027909,0.284858,0.312767
improved,lerer_fit,1300.0,0.563656,0.040833,0.395511,0.436344
improved,lerer_fit,1320.0,0.514624,0.047970,0.437406,0.485376
improved,lerer_fit,1340.0,0.620472,0.039601,0.339926,0.379528
improved,lerer_fit,1360.0,0.731090,0.029502,0.239408,0.268910
improved,lerer_fit,1380.0,0.847108,0.019990,0.132902,0.152892
improved,lerer_fit,1400.0,0.826560,0.021435,0.152005,0.173440
improved,lerer_fit,1420.0,0.805259,0.023765,0.170977,0.194741
improved,lerer_fit,1440.0,0.773249,0.028396,0.198354,0.226751
improved,lerer_fit,1460.0,0.715257,0.036623,0.248120,0.284743
