material,N,target_deg,scenario,phase_scale,mean_loss_db,peak_angle_deg,pointing_error_deg,beamwidth_3db_deg,sll_db,eta_tx,eta_peak,eta_target,eta_coherent,main_lobe_fraction,status
Sb2Se3,32,-35.0,planar_calibrated,1.6521309314586994,0.6586285296514671,-35.0,0.0,3.8700000000000045,-13.232672837375487,0.8606038663225577,0.8599442563036828,0.8599442563036828,0.9992335497844165,0.8903619121255111,ok
Sb2Se3,32,-35.0,planar_response_to_eim_design,1.6521309314586994,1.0881405661783519,58.900000000000006,93.9,6.170000000000016,0.0,0.7816335726457938,0.5155322458772471,0.1392890080971611,0.6595574498318875,0.1163112565948288,ok
GSST,32,-30.0,eim_prediction,0.9794910748195975,9.026443749999991,-30.0,0.0,3.479999999999997,-10.786139160015102,0.20208260496981018,0.1610472040129336,0.1610472040129336,0.7969374901763218,0.51978910038041,ok
GSST,32,-30.0,planar_calibrated,0.9794910748195975,5.443662499999993,-30.0,0.0,3.549999999999997,-12.83630260633877,0.33543080333716685,0.30989223435692054,0.30989223435692054,0.923863375914896,0.7126787848691212,ok
GSST,32,-30.0,planar_response_to_eim_design,0.9794910748195975,5.332018833080132,-29.979999999999997,0.020000000000003126,3.5600000000000023,-12.694597081097918,0.3419711695766589,0.3164958985640993,0.3164771352297819,0.9255046235502936,0.7199764944984718,ok
Sb2S3,32,-30.0,eim_prediction,2.695111708382328,0.6239187500000003,-30.0,0.0,3.6600000000000037,-13.243857476366275,0.8664672169476219,0.866323608605273,0.866323608605273,0.9998342599240456,0.8942891081388264,EIM buffer slice below cutoff
Sb2S3,32,-30.0,planar_calibrated,2.695111708382328,1.4451250000000009,-30.0,0.0,3.6700000000000017,-13.265623871890412,0.7193125828001812,0.7181305692323828,0.7181305692323828,0.9983567455984199,0.893785869009572,EIM buffer slice below cutoff
Sb2S3,32,-30.0,planar_response_to_eim_design,2.695111708382328,3.8947733075760143,30.17,60.17,3.730000000000004,0.0,0.4176822321504433,0.30221992258269603,0.011700919781088077,0.72356422974162,0.01898913229554867,EIM buffer slice below cutoff
Sb2Se3,32,-30.0,eim_prediction,1.6521309314586994,0.17291875000000018,-30.0,0.0,3.6600000000000037,-13.239329807836153,0.9610746082310462,0.9610204242746767,0.9610204242746767,0.9999436214879621,0.8939586907191469,ok
Sb2Se3,32,-30.0,planar_calibrated,1.6521309314586994,0.5360000000000005,-30.0,0.0,3.6700000000000017,-13.25578785600101,0.8852499102752919,0.8845719776661612,0.8845719776661612,0.9992341907056282,0.8944806113111674,ok
