N,target_deg,sigma_deg,metric,mean,std,p05,p95,analytic_eta_target
32,30.0,10.0,pointing_error_deg,0.01700000000000401,0.07880989785553719,-0.09999999999999432,0.10000000000000853,
32,30.0,10.0,sll_db,-12.608685033473048,0.4414537528570207,-13.185962298569576,-11.769539524333089,
32,30.0,10.0,eta_target,0.9707444534174984,0.006973090635613566,0.959512647172388,0.9809061343441697,0.9709351183707229
32,30.0,10.0,eta_peak,0.9715516578106862,0.006804090833405155,0.9604226380471459,0.9822210803661083,
32,30.0,10.0,eta_coherent,0.9715516578106862,0.006804090833405155,0.9604226380471459,0.9822210803661083,
32,30.0,20.0,pointing_error_deg,-0.0009999999999949693,0.12999615378925594,-0.19999999999998863,0.20000000000000284,
32,30.0,20.0,sll_db,-11.746645031157025,0.9577885188811126,-13.129716604021526,-9.974054030062781,
32,30.0,20.0,eta_target,0.8853099873544938,0.02894030271864494,0.8392317811246247,0.9276960733014821,0.8888687151256057
32,30.0,20.0,eta_peak,0.8878826503756636,0.028788531011046697,0.840704398167015,0.9295721746104842,
32,30.0,20.0,eta_coherent,0.8878826503756636,0.028788531011046697,0.840704398167015,0.9295721746104842,
32,30.0,30.0,pointing_error_deg,-0.05199999999999377,0.23085926448812946,-0.3999999999999915,0.3050000000000108,
32,30.0,30.0,sll_db,-10.876255489110672,1.3280807128554355,-12.673671476566946,-8.441487650154958,
32,30.0,30.0,eta_target,0.7619315297854095,0.04554464230328592,0.685540776980515,0.8269826911984447,0.7677070389667444
32,30.0,30.0,eta_peak,0.769981276445267,0.045123275250443726,0.6860129884226842,0.8335956846263012,
32,30.0,30.0,eta_coherent,0.769981276445267,0.045123275250443726,0.6860129884226842,0.8335956846263012,
64,30.0,0.0,pointing_error_deg,0.0,0.0,0.0,0.0,
64,30.0,0.0,sll_db,-13.25448657145011,0.0,-13.25448657145011,-13.25448657145011,
64,30.0,0.0,eta_target,1.0,0.0,1.0,1.0,1.0
64,30.0,0.0,eta_peak,1.0,0.0,1.0,1.0,
64,30.0,0.0,eta_coherent,1.0,0.0,1.0,1.0,
