material,N,target_deg,scenario,phase_scale,mean_loss_db,min_loss_db,max_loss_db,peak_angle_deg,pointing_error_deg,beamwidth_3db_deg,sll_db,eta_tx,eta_peak,eta_target,eta_coherent,main_lobe_fraction,status
Sb2S3,32,30.0,planar_response_to_eim_design,2.695111708382328,4.608371510162941,3.385060305728201,5.831682714597682,-29.979999999999997,-59.98,3.6599999999999966,0.0,0.3537423968246281,0.2607556503383216,0.016113470122423725,0.7371342894688256,0.02246996174910906,EIM buffer slice below cutoff
Sb2Se3,32,30.0,ideal,1.0,0.0,0.0,0.0,30.0,0.0,3.6500000000000057,-13.232890152610775,1.0,1.0,1.0,1.0,0.893264213788844,ok
Sb2Se3,32,30.0,eim_prediction,1.0,0.22187499999999988,0.1379499999999998,0.3058,30.0,0.0,3.6500000000000057,-13.230605840710876,0.950293041258484,0.9502437567989385,0.9502437567989385,0.9999481376192334,0.8931438328473902,ok
Sb2Se3,32,30.0,planar_calibrated,1.0,0.7165999999999995,0.40699999999999925,1.0262,30.0,0.0,3.660000000000011,-13.224459906966073,0.849088347844106,0.8484895814862913,0.8484895814862913,0.9992948126548491,0.8913818267518199,ok
Sb2Se3,32,30.0,phase_scale_only,1.6521309314586994,0.0,0.0,0.0,-88.15,-118.15,13.620000000000005,0.0,1.0,0.676980733328014,0.20517246194583813,0.676980733328014,0.03912092496592745,ok
Sb2Se3,32,30.0,planar_response_to_eim_design,1.6521309314586994,1.1839170254833031,0.6724172891036894,1.6954167618629172,-88.34,-118.34,13.599999999999994,0.0,0.7643288535434325,0.5167085821072731,0.15718846768374803,0.676029145977951,0.039271640221730075,ok
GSST,64,30.0,ideal,1.0,0.0,0.0,0.0,30.0,0.0,1.8299999999999983,-13.25448657145011,1.0,1.0,1.0,1.0,0.8974919157326146,ok
GSST,64,30.0,eim_prediction,1.0,5.72817500000002,0.074,11.382350000000047,30.0,0.0,1.8199999999999932,-10.499945428321276,0.41045700002611574,0.33637123430067273,0.33637123430067273,0.8195041972222932,0.46619781290881124,ok
GSST,64,30.0,planar_calibrated,1.0,3.575450000000011,0.3728,6.778100000000026,30.0,0.0,1.8199999999999932,-13.274554391255453,0.5080916481060743,0.47313012194930526,0.47313012194930526,0.9311905120127656,0.6841164602776227,ok
GSST,64,30.0,phase_scale_only,0.9794910748195975,0.0,0.0,0.0,30.0,0.0,1.8299999999999983,-13.244664616161963,1.0,0.998703365060007,0.998703365060007,0.998703365060007,0.8925030701736356,ok
GSST,64,30.0,planar_response_to_eim_design,0.9794910748195975,3.5021213634637403,0.365154272692746,6.63908845423474,30.0,0.0,1.8299999999999983,-13.255393906349685,0.5137779623228366,0.47914496229826326,0.47914496229826326,0.9325915034035435,0.6914554681780619,ok
Sb2S3,64,30.0,ideal,1.0,0.0,0.0,0.0,30.0,0.0,1.8299999999999983,-13.25448657145011,1.0,1.0,1.0,1.0,0.8974919157326146,EIM buffer slice below cutoff
Sb2S3,64,30.0,eim_prediction,1.0,0.7078749999999996,0.5639499999999988,0.8518,30.0,0.0,1.8299999999999983,-13.253534738461028,0.8498552891392456,0.8497256814791759,0.8497256814791759,0.99984749443614,0.8969245140260884,EIM buffer slice below cutoff
Sb2S3,64,30.0,planar_calibrated,1.0,1.7098999999999984,1.2559999999999962,2.1638,30.0,0.0,1.8299999999999983,-13.25148254860365,0.6765919813473344,0.6755675218676364,0.6755675218676364,0.9984858533533637,0.891810889580245,EIM buffer slice below cutoff
Sb2S3,64,30.0,phase_scale_only,2.695111708382328,0.0,0.0,0.0,-29.990000000000002,-59.99,1.8200000000000003,0.0,1.0,0.7433678145927274,0.04430733354787304,0.7433678145927274,0.01773413420368846,EIM buffer slice below cutoff
Sb2S3,64,30.0,planar_response_to_eim_design,2.695111708382328,4.608371510162939,3.385060305728194,5.831682714597682,-30.0,-60.0,1.8200000000000003,0.0,0.3537423968246283,0.26074229521204956,0.016113470122423684,0.73709653565025,0.01796719967721358,EIM buffer slice below cutoff
Sb2Se3,64,30.0,ideal,1.0,0.0,0.0,0.0,30.0,0.0,1.8299999999999983,-13.25448657145011,1.0,1.0,1.0,1.0,0.8974919157326146,ok
Sb2Se3,64,30.0,eim_prediction,1.0,0.2218749999999997,0.13794999999999932,0.3058,30.0,0.0,1.8299999999999983,-13.25393166245515,0.9502930412584842,0.9502437567989382,0.9502437567989382,0.999948137619233,0.8973015071406032,ok
Sb2Se3,64,30.0,planar_calibrated,1.0,0.7165999999999989,0.4069999999999975,1.0262,30.0,0.0,1.8299999999999983,-13.252438097943342,0.849088347844106,0.8484895814862914,0.8484895814862914,0.9992948126548492,0.8948464449745953,ok
Sb2Se3,64,30.0,phase_scale_only,1.6521309314586994,0.0,0.0,0.0,-89.07,-119.07,9.579999999999998,0.0,1.0,0.6768637813558941,0.20517246194583802,0.6768637813558941,0.028176354947319397,ok
Sb2Se3,64,30.0,planar_response_to_eim_design,1.6521309314586994,1.1839170254833022,0.6724172891036865,1.6954167618629172,-89.17,-119.17,9.569999999999993,0.0,0.7643288535434326,0.5166513270912644,0.15718846768374797,0.6759542371010411,0.02827692800157252,ok
