t_nm,lr_re,lr_im,sr_re,sr_im,lr_L_um,sr_L_um,maier_vs_tmm_lr,maier_vs_tmm_sr
47.83941253700132,1.457640032679916,0.00039645372589735856,1.4675674706768451,0.002503041324378371,311.12100313102565,49.2780841030867,0.0,5.637851296924623e-18
50.901312879771275,1.4580867337789882,0.00044930073219919854,1.466605318854982,0.002304894183777717,274.5267747338848,53.514422381879825,0.0,2.2208695253419636e-16
54.15918623332608,1.4585178354312187,0.0005047584089131172,1.4657717421799568,0.0021306485271027848,244.36458852030722,57.89086248962008,1.951563910473908e-18,0.0
57.62557559928458,1.4589281043291298,0.000562007248348414,1.46505262087223,0.001977731905805636,219.47240228430584,62.36693686042033,0.0,1.3010426069826053e-18
61.31382677802331,1.4593128575807264,0.0006201007006752061,1.4644353149959457,0.0018438732911989818,198.91137159160232,66.89455370114588,2.220848618105008e-16,4.119968255444917e-18
65.23813975078322,1.4596681859018419,0.000678011661193567,1.4639084637419275,0.0017270665914437603,181.92176913164454,71.41883324435523,0.0,3.0357660829594124e-18
69.41362335042189,1.459991132265665,0.0007346892195518236,1.4634618085332178,0.0016255363225428955,167.88742452415738,75.87962150440596,0.0,6.288372600415926e-18
73.85635343129765,1.4602798090757838,0.0007891202556959349,1.463086040000411,0.001537705267188583,156.30707741425206,80.21373375519039,1.734723475976807e-18,2.8189256484623115e-18
78.58343476224253,1.4605334433375377,0.000840389485539699,1.4627726690677116,0.001462164136843674,146.77132807891633,84.35788964327895,2.2209584450625177e-16,2.233456475320139e-17
83.61306688091555,1.4607523472575452,0.0008877315783060785,1.462513922309426,0.0013976434630005512,138.94411769330017,88.2521788721522,2.2210060791626986e-16,2.2210060791626986e-16
88.96461416307977,1.4609378198978102,0.0009305700089321565,1.462302661322826,0.001342988153432936,132.54787894761327,91.84375944115749,0.0,2.2537431330293913e-16
94.65868037657356,1.4610919926200816,0.0009685391647083336,1.4621323251030727,0.0012971353165285432,127.35167083652532,95.0903728581849,0.0,0.0
100.7171880070134,1.4612176360255396,0.0010014885161624557,1.4619968933496266,0.001259096032992209,123.1617526368226,97.96320349218519,7.37257477290143e-18,0.0
107.16346266063664,1.4613179483570078,0.0010294699439051304,1.4618908674081987,0.0012279416950023746,119.81416419825618,100.44864621685507,2.2909025143147557e-16,2.0122792321330962e-16
114.02232286924041,1.4613963448688363,0.0010527111919216858,1.461809264355555,0.0012027953123901168,117.16896509008986,102.54868773234205,6.694518846561305e-16,0.0
121.32017564297009,1.4614562649383005,0.001071579636602621,1.4617476188073637,0.00118282781004796,115.10584625075285,104.27982826276093,4.569276124658356e-16,4.822442049711568e-16
129.08511813884223,1.461501009442438,0.0010865410342429575,1.4617019866068626,0.0011672588576390683,113.52086760548256,105.67071741541567,5.102705119717673e-16,0.0
137.3470458364309,1.4615336159959973,0.0010981177067376495,1.4616689448032352,0.0011553612665194323,112.32409799005923,106.7588852686748,1.8859751857428806e-15,0.0
146.13776763720008,1.4615567747956622,0.0011068499164547626,1.4616455833009547,0.0011464675660925524,111.43794570748386,107.58706529885508,1.3418701586822375e-15,0.0
155.4911283306219,1.4615727836086865,0.0011132631766120355,1.4616294851521734,0.0011399771340394737,110.79597662754976,108.19960963528226,0.0,3.776358892696761e-15
165.44313889858145,1.461583537221437,0.0011178431392677465,1.4616186944296032,0.0011353622689258807,110.34202972075063,108.63940459542535,0.0,7.181948681361415e-15
176.03211515974888,1.4615905445624298,0.0011210186525702518,1.46161167262326,0.0011321718699762227,110.02946348253478,108.94554454776315,4.019716042881665e-15,8.125581431370536e-15
187.29882528770608,1.461594965715204,0.001123152683634007,1.4616072462053291,0.0011300318751862736,109.82040348880331,109.15185987641877,0.0,1.2392645977848161e-14
199.28664677078285,1.4615976610117571,0.0011245401201664964,1.46160454912904,0.0011286422034012546,109.6849091324165,109.2862561088966,0.0,1.755549093896858e-14
212.0417334179063,1.4615992451533526,0.0011254110169175654,1.4616029644322788,0.0011277705263466188,109.60002971541347,109.3707257058684,2.757649228519722e-14,0.0
225.6131930534455,1.4616001406083934,0.0011259376418439487,1.461602068818534,0.001127243648843277,109.54876745591041,109.4218459538802,1.570525352291228e-13,5.808937461927509e-14
240.0532765851876,1.4616006261375178,0.0011262436841687894,1.461601583248396,0.0011269375311179371,109.51899897867328,109.45156895596413,1.5660923610633922e-13,1.8033206741432304e-13
255.4175791733671,1.461600877948113,0.0011264141722084056,1.4616013314279248,0.0011267670225859738,109.50242276727849,109.46813176439719,2.5393077293008705e-13,0.0
271.7652542752618,1.461601002481029,0.0011265049627281227,1.4616012068935267,0.0011266762265670013,109.49359743387807,109.47695352732623,7.436912589426699e-13,7.762291929155439e-13
289.15924138943836,1.461601061013108,0.0011265510480725047,1.4616011483608262,0.001126630141637586,109.4891182314895,109.48143169410827,1.0450438195409789e-12,1.7397636790183404e-12
307.6665083764782,1.4616010870629814,0.0011265732743773844,1.4616011223077665,0.0011266079134794734,109.48695810699678,109.48359178063434,3.153512341973191e-12,0.0
327.3583092891284,1.4616010980025338,0.0011265834275289949,1.461601111373108,0.0011265977706847404,109.48597137342885,109.48457746481282,1.401070330492286e-12,9.050093737066149e-12
348.3104587045444,1.4616011023207827,0.0011265878147745422,1.461601107062053,0.001126593377452823,109.48554500467701,109.48500440779844,1.4787080573925205e-11,9.781522362050555e-12
370.60362361481424,1.4616011039232062,0.0011265895206704782,1.4616011054868026,0.0011265916500159093,109.48537922029607,109.48517228445378,5.6643070927921116e-11,3.9291931109825375e-11
394.3236339995637,1.4616011044541863,0.0011265902756632305,1.4616011049346715,0.0011265909166412473,109.4853058478646,109.48524355579995,3.033253078718319e-11,2.67458407694936e-11
419.56181327636216,1.461601104619829,0.0011265904837334333,1.4616011047506472,0.0011265906837290207,109.48528562700342,109.48526619086363,0.0,2.089006970507175e-11
446.41532990118384,1.4616011046641366,0.0011265905690590915,1.4616011047024595,0.0011265906255755154,109.48527733481251,109.48527184238588,9.289919865431e-12,1.7977631922749241e-12
474.9875714726077,1.4616011046821316,0.001126590594597854,1.461601104690878,0.0011265906027544178,109.48527485288295,109.48527406020492,9.320810677331485e-12,0.0
505.38854278007426,1.4616011046935156,0.0011265906004565003,1.461601104687744,0.001126590596186544,109.48527428352307,109.48527469848955,1.1306744711840364e-11,0.0
537.7352893287167,1.4616011046899666,0.0011265906074367908,1.461601104686627,0.0011265906010504837,109.48527360515862,109.48527422579807,1.4239040834834675e-11,6.547952451885628e-12
572.1523479713496,1.4616011046868482,0.0011265905990441103,1.4616011046734083,0.0011265905817997436,109.48527442078313,109.4852760966397,5.105967550151322e-12,1.8326408361287357e-11
608.7722263825888,1.46160110468694,0.0011265905940185776,1.4616011046636281,0.001126590667843439,109.48527490917868,109.48526773466936,0.0,7.738553162955882e-11
647.7359132210921,1.4616011046869422,0.0011265905940334485,1.4616011046869424,0.0011265905940391829,109.48527490773348,109.4852749071762,0.0,0.0
689.1934209440824,1.4616011046887132,0.0011265905857132756,1.4616011046869422,0.001126590594036724,109.48527571631153,109.48527490741517,8.508978930608371e-12,0.0
733.3043633640242,1.461601104686995,0.001126590596822889,1.4616011046850106,0.001126590611548992,109.48527463664772,109.48527320552323,2.787125720331068e-12,1.761882596309317e-11
780.2385701710656,1.4616011046869422,0.0011265905940363102,1.4616011046883821,0.0011265905891994837,109.48527490745539,109.48527537751193,0.0,5.046629930515115e-12
830.1767407872153,1.4616011046843393,0.0011265906071294533,1.4616011046869422,0.0011265905940363158,109.48527363502654,109.48527490745482,1.3349339659472285e-11,0.0
883.3111400696051,1.4616011046771504,0.001126590629970108,1.461601104690521,0.0011265905926114133,109.48527141530693,109.4852750459309,3.7243996291127785e-11,3.852139418684327e-12
939.8463385413619,1.4616011046916388,0.0011265906016362179,1.4616011046896344,0.001126590593024299,109.48527416887477,109.4852750058055,8.934057739811482e-12,2.876214036580503e-12
1000.0,1.4616011046896924,0.0011265906057769445,1.4616011046912434,0.001126590610279196,109.4852737664672,109.48527332892562,1.2058449560999827e-11,1.6802729334849466e-11
