lambda_nm,n,k
1083.0,3.678,0.0046
1084.0,3.678,0.0046
1085.0,3.678,0.0046
1086.0,3.678,0.0046
1087.0,3.678,0.0046
1088.0,3.678,0.0046
1089.0,3.678,0.0046
1090.0,3.678,0.0046
1091.0,3.678,0.0046
1092.0,3.678,0.0046
1093.0,3.678,0.0046
1094.0,3.678,0.0046
1095.0,3.678,0.0046
1096.0,3.678,0.0046
1097.0,3.678,0.0046
1098.0,3.678,0.0046
1099.0,3.678,0.0046
1100.0,3.678,0.0046
1101.0,3.678,0.0046
1102.0,3.678,0.0046
1103.0,3.678,0.0046
1104.0,3.678,0.0046
1105.0,3.678,0.0046
1106.0,3.678,0.0046
1107.0,3.678,0.0046
1108.0,3.678,0.0046
1109.0,3.678,0.0046
1110.0,3.678,0.0046
1111.0,3.678,0.0046
1112.0,3.678,0.0046
1113.0,3.678,0.0046
1114.0,3.678,0.0046
1115.0,3.678,0.0046
1116.0,3.678,0.0046
1117.0,3.678,0.0046
1118.0,3.678,0.0046
1119.0,3.678,0.0046
1120.0,3.678,0.0046
1121.0,3.678,0.0046
1122.0,3.678,0.0046
1123.0,3.678,0.0046
1124.0,3.678,0.0046
1125.0,3.678,0.0046
1126.0,3.678,0.0046
1127.0,3.678,0.0046
1128.0,3.678,0.0046
1129.0,3.678,0.0046
1130.0,3.678,0.0046
1131.0,3.678,0.0046
1132.0,3.678,0.0046
1133.0,3.678,0.0046
1134.0,3.678,0.0046
1135.0,3.678,0.0046
1136.0,3.678,0.0046
1137.0,3.678,0.0046
1138.0,3.678,0.0046
1139.0,3.678,0.0046
1140.0,3.678,0.0046
1141.0,3.678,0.0046
1142.0,3.678,0.0046
1143.0,3.678,0.0046
1144.0,3.678,0.0046
1145.0,3.678,0.0046
1146.0,3.678,0.0046
1147.0,3.678,0.0046
1148.0,3.678,0.0046
1149.0,3.678,0.0046
1150.0,3.678,0.0046
1151.0,3.678,0.0046
1152.0,3.678,0.0046
1153.0,3.678,0.0046
1154.0,3.678,0.0046
1155.0,3.678,0.0046
1156.0,3.678,0.0046
1157.0,3.678,0.0046
1158.0,3.678,0.0046
