lambda_nm,n,k
1200.0,0.35,8.473
1201.0,0.351,8.48
1202.0,0.351,8.488
1203.0,0.352,8.495
1204.0,0.352,8.503
1205.0,0.353,8.51
1206.0,0.354,8.518
1207.0,0.354,8.525
1208.0,0.355,8.533
1209.0,0.355,8.54
1210.0,0.356,8.547
1211.0,0.356,8.555
1212.0,0.357,8.562
1213.0,0.357,8.57
1214.0,0.358,8.577
1215.0,0.358,8.585
1216.0,0.359,8.592
1217.0,0.359,8.6
1218.0,0.36,8.607
1219.0,0.36,8.614
1220.0,0.361,8.622
1221.0,0.361,8.629
1222.0,0.362,8.637
1223.0,0.363,8.644
1224.0,0.363,8.652
1225.0,0.364,8.659
1226.0,0.364,8.667
1227.0,0.365,8.674
1228.0,0.365,8.682
1229.0,0.366,8.689
1230.0,0.366,8.696
1231.0,0.367,8.704
1232.0,0.367,8.711
1233.0,0.368,8.719
1234.0,0.368,8.726
1235.0,0.369,8.734
1236.0,0.369,8.741
1237.0,0.37,8.749
1238.0,0.371,8.756
1239.0,0.371,8.764
1240.0,0.372,8.764
1241.0,0.372,8.737
1242.0,0.373,8.71
1243.0,0.374,8.683
1244.0,0.374,8.657
1245.0,0.375,8.63
1246.0,0.376,8.603
1247.0,0.376,8.576
1248.0,0.377,8.549
1249.0,0.378,8.522
1250.0,0.378,8.495
1251.0,0.379,8.468
1252.0,0.38,8.442
1253.0,0.38,8.415
1254.0,0.381,8.388
1255.0,0.382,8.361
1256.0,0.382,8.334
1257.0,0.383,8.307
1258.0,0.384,8.28
1259.0,0.384,8.253
1260.0,0.385,8.227
1261.0,0.386,8.2
1262.0,0.386,8.173
1263.0,0.387,8.146
1264.0,0.388,8.119
1265.0,0.388,8.092
1266.0,0.389,8.095
1267.0,0.39,8.101
1268.0,0.39,8.107
1269.0,0.391,8.113
1270.0,0.391,8.119
1271.0,0.392,8.125
1272.0,0.392,8.131
1273.0,0.393,8.137
1274.0,0.393,8.144
1275.0,0.394,8.15
1276.0,0.394,8.156
1277.0,0.395,8.162
1278.0,0.395,8.168
1279.0,0.396,8.174
1280.0,0.396,8.18
1281.0,0.397,8.186
1282.0,0.397,8.192
1283.0,0.398,8.198
1284.0,0.399,8.204
1285.0,0.399,8.21
1286.0,0.4,8.216
1287.0,0.4,8.222
1288.0,0.401,8.228
1289.0,0.401,8.235
1290.0,0.402,8.241
1291.0,0.402,8.247
1292.0,0.403,8.253
1293.0,0.403,8.259
1294.0,0.404,8.265
1295.0,0.405,8.271
1296.0,0.405,8.278
1297.0,0.406,8.284
1298.0,0.406,8.29
1299.0,0.407,8.296
1300.0,0.407,8.302
1301.0,0.408,8.309
1302.0,0.409,8.315
1303.0,0.409,8.321
1304.0,0.41,8.327
1305.0,0.41,8.333
1306.0,0.411,8.339
1307.0,0.412,8.346
1308.0,0.412,8.352
1309.0,0.413,8.358
1310.0,0.413,8.364
1311.0,0.414,8.37
1312.0,0.414,8.377
1313.0,0.415,8.383
1314.0,0.416,8.389
1315.0,0.416,8.395
1316.0,0.417,8.401
1317.0,0.417,8.407
1318.0,0.418,8.414
1319.0,0.419,8.42
1320.0,0.419,8.426
1321.0,0.42,8.432
1322.0,0.42,8.438
1323.0,0.421,8.444
1324.0,0.422,8.45
1325.0,0.422,8.455
1326.0,0.423,8.461
1327.0,0.423,8.467
1328.0,0.424,8.473
1329.0,0.424,8.479
1330.0,0.425,8.485
1331.0,0.426,8.491
1332.0,0.426,8.497
