lambda_nm,n,k
692.0,1.918652,0.02323213
693.0,1.918554,0.02327685
694.0,1.918456,0.02332136
695.0,1.918359,0.02336563
696.0,1.918262,0.02340969
697.0,1.918166,0.02345352
698.0,1.918071,0.02349714
699.0,1.917976,0.02354053
700.0,1.917881,0.02358372
701.0,1.917788,0.02362668
702.0,1.917694,0.02366943
703.0,1.917602,0.02371197
704.0,1.91751,0.0237543
705.0,1.917418,0.02379643
706.0,1.917327,0.02383834
707.0,1.917237,0.02388005
708.0,1.917147,0.02392155
709.0,1.917057,0.02396286
710.0,1.916969,0.02400396
711.0,1.91688,0.02404486
712.0,1.916792,0.02408556
713.0,1.916705,0.02412606
714.0,1.916618,0.02416637
715.0,1.916532,0.02420649
716.0,1.916446,0.02424641
717.0,1.916361,0.02428614
718.0,1.916276,0.02432568
719.0,1.916192,0.02436503
720.0,1.916108,0.02440419
721.0,1.916024,0.02444316
722.0,1.915941,0.02448196
723.0,1.915859,0.02452056
724.0,1.915777,0.02455899
725.0,1.915695,0.02459723
726.0,1.915614,0.02463529
727.0,1.915534,0.02467318
728.0,1.915454,0.02471088
729.0,1.915374,0.02474841
730.0,1.915295,0.02478577
731.0,1.915216,0.02482295
732.0,1.915137,0.02485996
733.0,1.915059,0.02489679
734.0,1.914982,0.02493346
735.0,1.914905,0.02496995
736.0,1.914828,0.02500628
737.0,1.914752,0.02504244
738.0,1.914676,0.02507843
739.0,1.9146,0.02511426
740.0,1.914525,0.02514993
741.0,1.914451,0.02518543
742.0,1.914376,0.02522077
743.0,1.914303,0.02525596
744.0,1.914229,0.02529098
745.0,1.914156,0.02532584
746.0,1.914083,0.02536054
747.0,1.914011,0.02539509
748.0,1.913939,0.02542949
749.0,1.913868,0.02546373
750.0,1.913797,0.02549781
751.0,1.913726,0.02553175
752.0,1.913655,0.02556553
753.0,1.913585,0.02559916
754.0,1.913516,0.02563264
755.0,1.913446,0.02566598
756.0,1.913377,0.02569917
757.0,1.913309,0.02573221
758.0,1.91324,0.0257651
759.0,1.913173,0.02579785
760.0,1.913105,0.02583046
761.0,1.913038,0.02586292
762.0,1.912971,0.02589525
763.0,1.912904,0.02592743
764.0,1.912838,0.02595947
765.0,1.912772,0.02599137
766.0,1.912707,0.02602313
767.0,1.912642,0.02605476
768.0,1.912577,0.02608625
769.0,1.912512,0.02611761
770.0,1.912448,0.02614883
771.0,1.912384,0.02617991
772.0,1.912321,0.02621086
773.0,1.912257,0.02624168
774.0,1.912194,0.02627237
775.0,1.912132,0.02630293
776.0,1.912069,0.02633336
777.0,1.912007,0.02636366
778.0,1.911946,0.02639383
779.0,1.911884,0.02642388
780.0,1.911823,0.02645379
781.0,1.911762,0.02648359
782.0,1.911702,0.02651325
783.0,1.911641,0.02654279
784.0,1.911582,0.02657221
785.0,1.911522,0.02660151
786.0,1.911463,0.02663068
787.0,1.911403,0.02665974
788.0,1.911345,0.02668867
789.0,1.911286,0.02671748
790.0,1.911228,0.02674618
791.0,1.91117,0.02677475
792.0,1.911112,0.02680321
793.0,1.911055,0.02683155
794.0,1.910998,0.02685977
795.0,1.910941,0.02688788
796.0,1.910884,0.02691588
797.0,1.910828,0.02694376
798.0,1.910772,0.02697153
799.0,1.910716,0.02699918
800.0,1.91066,0.02702672
801.0,1.910605,0.02705415
802.0,1.91055,0.02708147
803.0,1.910495,0.02710868
804.0,1.910441,0.02713578
805.0,1.910386,0.02716278
806.0,1.910332,0.02718966
807.0,1.910279,0.02721644
808.0,1.910225,0.0272431
809.0,1.910172,0.02726967
810.0,1.910119,0.02729612
811.0,1.910066,0.02732248
812.0,1.910013,0.02734873
813.0,1.909961,0.02737487
814.0,1.909909,0.02740091
815.0,1.909857,0.02742685
816.0,1.909805,0.02745269
817.0,1.909754,0.02747842
818.0,1.909703,0.02750406
819.0,1.909652,0.02752959
820.0,1.909601,0.02755502
821.0,1.90955,0.02758036
822.0,1.9095,0.0276056
823.0,1.90945,0.02763074
824.0,1.9094,0.02765578
825.0,1.909351,0.02768072
826.0,1.909301,0.02770557
827.0,1.909252,0.02773032
828.0,1.909203,0.02775498
829.0,1.909154,0.02777954
830.0,1.909106,0.02780401
831.0,1.909058,0.02782839
832.0,1.909009,0.02785267
833.0,1.908961,0.02787686
834.0,1.908914,0.02790096
835.0,1.908866,0.02792497
836.0,1.908819,0.02794888
837.0,1.908772,0.02797271
838.0,1.908725,0.02799644
839.0,1.908678,0.02802009
840.0,1.908632,0.02804364
841.0,1.908586,0.02806711
842.0,1.908539,0.02809049
843.0,1.908494,0.02811378
844.0,1.908448,0.02813699
845.0,1.908402,0.02816011
846.0,1.908357,0.02818314
847.0,1.908312,0.02820609
848.0,1.908267,0.02822895
849.0,1.908222,0.02825173
850.0,1.908178,0.02827443
851.0,1.908133,0.02829704
852.0,1.908089,0.02831956
853.0,1.908045,0.02834201
854.0,1.908001,0.02836437
855.0,1.907957,0.02838665
856.0,1.907914,0.02840885
857.0,1.907871,0.02843096
858.0,1.907828,0.028453
859.0,1.907785,0.02847496
860.0,1.907742,0.02849683
861.0,1.907699,0.02851863
862.0,1.907657,0.02854035
863.0,1.907615,0.02856199
864.0,1.907572,0.02858355
865.0,1.907531,0.02860504
866.0,1.907489,0.02862644
867.0,1.907447,0.02864777
868.0,1.907406,0.02866903
869.0,1.907365,0.02869021
870.0,1.907324,0.02871131
871.0,1.907283,0.02873234
872.0,1.907242,0.02875329
873.0,1.907201,0.02877417
874.0,1.907161,0.02879497
875.0,1.907121,0.0288157
876.0,1.907081,0.02883636
877.0,1.907041,0.02885695
878.0,1.907001,0.02887746
879.0,1.906961,0.0288979
880.0,1.906922,0.02891827
881.0,1.906882,0.02893856
882.0,1.906843,0.02895879
883.0,1.906804,0.02897895
884.0,1.906765,0.02899903
885.0,1.906727,0.02901905
886.0,1.906688,0.02903899
887.0,1.90665,0.02905887
888.0,1.906611,0.02907868
889.0,1.906573,0.02909842
890.0,1.906535,0.02911809
891.0,1.906498,0.02913769
892.0,1.90646,0.02915723
893.0,1.906422,0.0291767
894.0,1.906385,0.0291961
895.0,1.906348,0.02921544
896.0,1.906311,0.02923471
897.0,1.906274,0.02925391
898.0,1.906237,0.02927305
899.0,1.9062,0.02929213
900.0,1.906164,0.02931114
901.0,1.906127,0.02933008
902.0,1.906091,0.02934896
903.0,1.906055,0.02936778
904.0,1.906019,0.02938653
905.0,1.905983,0.02940523
906.0,1.905947,0.02942385
907.0,1.905912,0.02944242
908.0,1.905876,0.02946092
909.0,1.905841,0.02947936
910.0,1.905806,0.02949774
911.0,1.905771,0.02951606
912.0,1.905736,0.02953432
913.0,1.905701,0.02955252
914.0,1.905666,0.02957065
915.0,1.905632,0.02958873
916.0,1.905597,0.02960675
917.0,1.905563,0.0296247
918.0,1.905529,0.0296426
919.0,1.905495,0.02966044
920.0,1.905461,0.02967822
921.0,1.905427,0.02969595
922.0,1.905393,0.02971361
923.0,1.90536,0.02973122
924.0,1.905326,0.02974877
925.0,1.905293,0.02976626
926.0,1.90526,0.02978369
927.0,1.905227,0.02980107
928.0,1.905194,0.02981839
929.0,1.905161,0.02983566
930.0,1.905128,0.02985287
931.0,1.905095,0.02987003
932.0,1.905063,0.02988713
933.0,1.905031,0.02990417
934.0,1.904998,0.02992116
935.0,1.904966,0.02993809
936.0,1.904934,0.02995498
937.0,1.904902,0.0299718
938.0,1.90487,0.02998858
939.0,1.904839,0.0300053
940.0,1.904807,0.03002196
941.0,1.904776,0.03003858
942.0,1.904744,0.03005514
943.0,1.904713,0.03007165
944.0,1.904682,0.0300881
945.0,1.904651,0.03010451
946.0,1.90462,0.03012086
947.0,1.904589,0.03013716
948.0,1.904558,0.03015341
949.0,1.904528,0.03016961
950.0,1.904497,0.03018576
951.0,1.904467,0.03020185
952.0,1.904437,0.0302179
953.0,1.904406,0.0302339
954.0,1.904376,0.03024984
955.0,1.904346,0.03026574
956.0,1.904317,0.03028159
957.0,1.904287,0.03029739
958.0,1.904257,0.03031314
959.0,1.904227,0.03032884
960.0,1.904198,0.03034449
961.0,1.904169,0.0303601
962.0,1.904139,0.03037566
963.0,1.90411,0.03039117
964.0,1.904081,0.03040663
965.0,1.904052,0.03042204
966.0,1.904023,0.03043741
967.0,1.903994,0.03045273
968.0,1.903966,0.030468
969.0,1.903937,0.03048323
970.0,1.903909,0.03049841
971.0,1.90388,0.03051354
972.0,1.903852,0.03052863
973.0,1.903824,0.03054367
974.0,1.903796,0.03055867
975.0,1.903768,0.03057362
976.0,1.90374,0.03058853
977.0,1.903712,0.03060339
978.0,1.903684,0.03061821
979.0,1.903656,0.03063298
980.0,1.903629,0.03064771
981.0,1.903601,0.03066239
982.0,1.903574,0.03067704
983.0,1.903547,0.03069163
984.0,1.90352,0.03070619
985.0,1.903492,0.0307207
986.0,1.903465,0.03073516
987.0,1.903438,0.03074959
988.0,1.903412,0.03076397
989.0,1.903385,0.03077831
990.0,1.903358,0.0307926
991.0,1.903332,0.03080686
992.0,1.903305,0.03082107
993.0,1.903279,0.03083524
994.0,1.903252,0.03084937
995.0,1.903226,0.03086346
996.0,1.9032,0.03087751
997.0,1.903174,0.03089151
998.0,1.903148,0.03090548
999.0,1.903122,0.0309194
1000.0,1.903096,0.03093328
1001.0,1.90307,0.03094712
1002.0,1.903045,0.03096093
1003.0,1.903019,0.03097469
1004.0,1.902993,0.03098841
1005.0,1.902968,0.0310021
1006.0,1.902943,0.03101574
1007.0,1.902917,0.03102934
1008.0,1.902892,0.03104291
1009.0,1.902867,0.03105644
1010.0,1.902842,0.03106992
1011.0,1.902817,0.03108337
1012.0,1.902792,0.03109678
1013.0,1.902767,0.03111015
1014.0,1.902743,0.03112349
1015.0,1.902718,0.03113678
1016.0,1.902694,0.03115004
1017.0,1.902669,0.03116326
1018.0,1.902645,0.03117644
1019.0,1.90262,0.03118959
1020.0,1.902596,0.0312027
1021.0,1.902572,0.03121577
1022.0,1.902548,0.0312288
1023.0,1.902524,0.0312418
1024.0,1.9025,0.03125476
1025.0,1.902476,0.03126769
1026.0,1.902452,0.03128057
1027.0,1.902428,0.03129343
1028.0,1.902405,0.03130624
1029.0,1.902381,0.03131902
1030.0,1.902357,0.03133177
1031.0,1.902334,0.03134448
1032.0,1.902311,0.03135715
1033.0,1.902287,0.03136979
1034.0,1.902264,0.03138239
1035.0,1.902241,0.03139496
1036.0,1.902218,0.03140749
1037.0,1.902195,0.03141999
1038.0,1.902172,0.03143246
1039.0,1.902149,0.03144489
1040.0,1.902126,0.03145728
1041.0,1.902103,0.03146964
1042.0,1.90208,0.03148197
1043.0,1.902058,0.03149426
1044.0,1.902035,0.03150653
1045.0,1.902013,0.03151875
1046.0,1.90199,0.03153095
1047.0,1.901968,0.03154311
1048.0,1.901946,0.03155523
1049.0,1.901923,0.03156733
1050.0,1.901901,0.03157939
1051.0,1.901879,0.03159142
1052.0,1.901857,0.03160341
1053.0,1.901835,0.03161537
1054.0,1.901813,0.03162731
1055.0,1.901791,0.0316392
1056.0,1.90177,0.03165107
1057.0,1.901748,0.03166291
1058.0,1.901726,0.03167471
1059.0,1.901705,0.03168648
1060.0,1.901683,0.03169822
1061.0,1.901662,0.03170993
1062.0,1.90164,0.0317216
1063.0,1.901619,0.03173325
1064.0,1.901598,0.03174487
1065.0,1.901576,0.03175645
1066.0,1.901555,0.031768
1067.0,1.901534,0.03177952
1068.0,1.901513,0.03179102
1069.0,1.901492,0.03180248
1070.0,1.901471,0.03181391
1071.0,1.90145,0.03182531
1072.0,1.90143,0.03183668
1073.0,1.901409,0.03184802
1074.0,1.901388,0.03185933
1075.0,1.901368,0.03187061
1076.0,1.901347,0.03188186
1077.0,1.901326,0.03189308
1078.0,1.901306,0.03190428
1079.0,1.901286,0.03191544
1080.0,1.901265,0.03192657
1081.0,1.901245,0.03193768
1082.0,1.901225,0.03194876
1083.0,1.901205,0.0319598
1084.0,1.901185,0.03197082
1085.0,1.901165,0.03198181
1086.0,1.901145,0.03199277
1087.0,1.901125,0.03200371
1088.0,1.901105,0.03201461
1089.0,1.901085,0.03202549
1090.0,1.901065,0.03203634
1091.0,1.901045,0.03204716
1092.0,1.901026,0.03205795
1093.0,1.901006,0.03206872
1094.0,1.900987,0.03207945
1095.0,1.900967,0.03209016
1096.0,1.900948,0.03210084
1097.0,1.900928,0.0321115
1098.0,1.900909,0.03212213
1099.0,1.90089,0.03213273
1100.0,1.90087,0.0321433
1101.0,1.900851,0.03215385
1102.0,1.900832,0.03216437
1103.0,1.900813,0.03217486
